Title,Publisher,Developer,Japan Sales,Release Date,Last Update,Year
Skylanders: SuperChargers,Activision,Vicarious Visions,150000,2015-09-20,2018-04-06,2015.0
Rory McIlroy PGA Tour,Electronic Arts,EA Tiburon,270000,2015-07-14,2018-05-24,2015.0
Disney Infinity 3.0,Disney Interactive Studios,Avalanche Software,230000,2015-08-30,2018-03-20,2015.0
FIFA 18,EA Sports,EA Vancouver,400000,2017-09-29,2018-04-02,2017.0
Mario Tennis Ultra Smash,Nintendo,Camelot Software Planning,200000,2015-11-20,2018-03-21,2015.0
Dragon Ball: Fusions,Namco Bandai Games,Ganbarion,90000,2016-11-22,2018-01-14,2016.0
LEGO The Incredibles,Warner Bros. Interactive Entertainment,Traveller's Tales,270000,2018-06-15,2018-11-06,2018.0
Disney Infinity 3.0,Disney Interactive Studios,Avalanche Software,190000,2015-08-30,2018-03-20,2015.0
F1 2018,Codemasters,Codemasters Birmingham,390000,2018-08-24,2018-09-26,2018.0
Hitman 2,Warner Bros. Interactive Entertainment,IO Interactive,220000,2018-11-13,2018-11-22,2018.0
Halo Wars 2Read the review,Microsoft Studios,Creative Assembly,150000,2017-02-21,2018-02-24,2017.0
Mario & Luigi Superstar Saga + Bowser's Minions,Nintendo,AlphaDream Corporation,200000,2017-10-06,2018-01-26,2017.0
DiRT Rally,Codemasters,Codemasters,300000,2016-04-05,2018-01-17,2016.0
Fire Emblem Warriors,Nintendo,Omega Force,140000,2017-10-20,2020-08-03,2017.0
Homefront: The Revolution,Deep Silver,Dambuster Studios,290000,2016-05-17,2018-05-24,2016.0
Attack on Titan,Tecmo Koei,Omega Force,240000,2017-01-01,2018-09-11,2017.0
Lego Star Wars: The Force Awakens,Warner Bros. Interactive Entertainment,TT Fusion,220000,2016-06-28,2018-03-31,2016.0
Mad Max (2013),Warner Bros. Interactive Entertainment,Avalanche Studios,160000,2015-09-01,2018-01-05,2015.0
Pro Evolution Soccer 2019,Konami,Konami,230000,2018-08-28,2018-09-26,2018.0
Story of Seasons: Trio of Towns,Marvelous Interactive,Marvelous Entertainment,60000,2017-02-28,2018-05-29,2017.0
Star Wars Battlefront (2015),Electronic Arts,EA DICE,330000,2015-11-17,2018-03-24,2015.0
Animal Crossing: Amiibo Festival,Nintendo,"Nd Cube Co., Ltd.",120000,2015-11-13,2018-02-08,2015.0
Mario & Sonic at the Rio 2016 Olympic Games,Nintendo,Sega Sports R&D,230000,2016-06-24,2018-04-05,2016.0
DiRT 4,Deep Silver,Codemasters,300000,2017-06-06,2018-11-23,2017.0
Hyrule Warriors Legends,Nintendo,Omega Force,160000,2016-03-25,2020-08-04,2016.0
Farpoint,Sony Interactive Entertainment,Impulse Gear,380000,2017-05-16,2018-09-23,2017.0
LEGO Marvel's Avengers,Warner Bros. Interactive Entertainment,Traveller's Tales,180000,2016-01-26,2018-04-06,2016.0
WWE 2K19,2K Sports,Visual Concepts,140000,2018-10-09,2018-06-22,2018.0
A Way Out,Electronic Arts,Hazelight,160000,2018-03-23,2018-03-24,2018.0
Friday the 13th: The Game,Gun Media,IllFonic,90000,2017-10-13,2018-05-30,2017.0
Tom Clancy's The Division,Ubisoft,Massive Entertainment,180000,2016-03-08,2018-05-04,2016.0
Wolfenstein: The Old Blood,Bethesda Softworks,MachineGames,250000,2015-05-05,2018-04-21,2015.0
BioShock: The Collection,2K Games,"Blind Squirrel Digital, Inc",80000,2016-09-13,2018-04-30,2016.0
Luigi's Mansion,Nintendo,GREZZO,160000,2018-10-12,2020-08-03,2018.0
Jurassic World Evolution,Frontier Developments,Frontier Developments,250000,2018-07-03,2018-04-20,2018.0
Deadpool,Activision,High Moon Studios,130000,2015-11-18,2018-10-10,2015.0
TrackMania Turbo,Ubisoft,Nadeo,350000,2016-03-22,2018-05-29,2016.0
Madden NFL 17,EA Sports,EA Tiburon,50000,2016-08-23,2018-04-01,2016.0
Detective PikachuRead the review,Nintendo,Creatures Inc.,170000,2018-03-23,2018-01-12,2018.0
Knack 2,Sony Interactive Entertainment,SIE Japan Studio,250000,2017-09-05,2018-09-23,2017.0
Sonic Mania,Sega,PagodaWest Games,180000,2017-08-15,2017-12-23,2017.0
Farming Simulator 19,Focus Home Interactive,Giants Software,260000,2018-11-20,2018-12-19,2018.0
Dissidia Final Fantasy NTRead the review,Square Enix,Square Enix,60000,2018-01-30,2018-01-10,2018.0
WWE 2K16,Take-Two Interactive,Yuke's,130000,2015-10-27,2018-04-11,2015.0
Disney Infinity 3.0,Disney Interactive Studios,Avalanche Software,120000,2015-08-30,2018-03-20,2015.0
Battlefield: Hardline,Electronic Arts,EA DICE,170000,2015-03-17,2018-04-11,2015.0
Mario Sports Superstars,Nintendo,Namco Bandai Games,120000,2017-03-24,2018-01-20,2017.0
Minecraft: Story Mode - The Complete Adventure,Telltale Games,Telltale Games,150000,2017-08-22,2018-08-07,2017.0
State of Decay 2Read the review,Microsoft Studios,Undead Labs,140000,2018-05-22,2018-09-25,2018.0
LEGO DC Super-Villains,Warner Bros. Interactive Entertainment,Traveller's Tales,170000,2018-10-16,2018-06-04,2018.0
Hyrule Warriors: Definitive EditionRead the review,Nintendo,Omega Force,150000,2018-05-18,2019-12-30,2018.0
Skylanders: SuperChargers,Activision,Vicarious Visions,90000,2015-09-20,2018-04-06,2015.0
L.A. Noire,Rockstar Games,Team Bondi,210000,2017-11-14,2018-06-19,2017.0
Yakuza Kiwami,Sega,Sega,70000,2017-08-29,2018-01-03,2017.0
Style Savvy: Styling Star,Nintendo,syn Sophia,290000,2017-12-25,2018-09-05,2017.0
Prey (2017),Bethesda Softworks,Arkane Studios,200000,2017-05-05,2018-01-18,2017.0
Skylanders Imaginators,Activision,Toys for Bob,220000,2016-10-16,2018-03-26,2016.0
Hey! Pikmin,Nintendo,Arzest,80000,2017-07-28,2018-02-03,2017.0
EA Sports UFC 3,EA Sports,EA Vancouver,100000,2018-02-02,2018-02-11,2018.0
Pro Evolution Soccer 2016,Konami Digital Entertainment,PES Productions,120000,2015-09-15,2018-04-14,2015.0
Star Fox: Zero,Nintendo,Nintendo EPD,120000,2016-04-22,2018-11-18,2016.0
Story of Seasons,Xseed Games,Marvelous,150000,2015-03-31,2017-12-30,2015.0
Sid Meier's Civilization VI,2K Games,Firaxis Games,290000,2016-10-21,2018-12-19,2016.0
God Eater 2: Rage Burst,Namco Bandai Games,Namco Bandai Games,50000,2016-10-01,2018-07-04,2016.0
LEGO DC Super-Villains,Warner Bros. Interactive Entertainment,Traveller's Tales,120000,2018-10-16,2018-06-04,2018.0
Skylanders Imaginators,Activision,Toys for Bob,180000,2016-10-16,2018-03-30,2016.0
Skylanders: SuperChargers,Activision,Vicarious Visions,160000,2015-09-20,2018-04-06,2015.0
Just Dance 2017,Ubisoft,Ubisoft Paris,210000,2016-10-25,2018-04-06,2016.0
Rocksmith 2014,Ubisoft,Ubisoft San Francisco,80000,2016-10-04,2018-03-08,2016.0
NBA 2K18,2K Sports,Visual Concepts,60000,2017-09-19,2018-01-05,2017.0
Doom (2016),Bethesda Softworks,id Software,150000,2017-11-10,2018-01-05,2017.0
NHL 19,EA Sports,EA Canada,90000,2018-09-14,2018-06-23,2018.0
Destiny: The Taken King,Activision,Bungie,120000,2015-09-15,2018-04-20,2015.0
LEGO Marvel's Avengers,Warner Bros. Interactive Entertainment,Traveller's Tales,230000,2016-01-26,2018-04-06,2016.0
Hello Neighbor,Gearbox Software,Dynamic Pixels,110000,2017-12-08,2017-12-31,2017.0
Saints Row IV: Re-ElectedRead the review,Deep Silver,Volition Inc.,180000,2015-01-20,2018-04-30,2015.0
Fossil Fighters: Frontier,Nintendo,Spike Chunsoft,40000,2015-03-20,2018-01-16,2015.0
Dishonored: Definitive Edition,Bethesda Softworks,Arkane Studios,210000,2015-08-25,2018-04-04,2015.0
Mirror's Edge Catalyst,Electronic Arts,EA DICE,190000,2016-06-07,2018-09-04,2016.0
Farming Simulator 2015,Focus Home Interactive,Giants Software,220000,2015-05-19,2018-04-11,2015.0
Farming Simulator 2015Read the review,Focus Home Interactive,Giants Software,220000,2015-05-19,2018-04-11,2015.0
Project CARS,Bandai Namco Games,Slightly Mad Studios,160000,2015-05-12,2018-01-05,2015.0
Nintendo Labo: Toy-Con 03 Vehicle Kit,Nintendo,Nintendo EPD,150000,2018-09-14,2018-11-19,2018.0
Sword Art Online: Hollow Realization,Namco Bandai Games,Aquria,60000,2016-11-08,2019-03-22,2016.0
Destiny: The Collection,Activision,Bungie,120000,2016-09-19,2018-09-14,2016.0
Skylanders: SuperChargers,Activision,Vicarious Visions,50000,2015-09-20,2018-04-06,2015.0
MLB 15: The Show,Sony Computer Entertainment America,SCE San Diego Studio,10000,2015-03-31,2018-05-01,2015.0
Rocket League,505 Games,Psyonix Studios,160000,2018-01-16,2018-04-04,2018.0
The Lego Ninjago Movie Videogame,Warner Bros. Interactive Entertainment,Traveller's Tales,150000,2017-09-22,2018-05-29,2017.0
Farming Simulator 2015,Focus Home Interactive,Giants Software,120000,2015-05-19,2018-04-11,2015.0
Destiny: The Taken King,Activision,Bungie,80000,2015-09-15,2018-04-20,2015.0
LEGO Marvel's Avengers,Warner Bros. Interactive Entertainment,Traveller's Tales,170000,2016-01-26,2018-04-06,2016.0
Just Dance 2018,Ubisoft,Ubisoft Paris,220000,2017-10-24,2018-04-06,2017.0
Just Dance 2016,Ubisoft,Ubisoft Paris,130000,2015-10-20,2018-04-05,2015.0
Deus Ex: Mankind Divided,Square Enix,Eidos Montreal,110000,2016-08-23,2018-01-18,2016.0
The Evil Within 2,Bethesda Softworks,Tango Gameworks,100000,2017-10-13,2018-05-10,2017.0
Little NightmaresRead the review,Namco Bandai Games,Tarsier Studios,120000,2017-04-28,2019-02-20,2017.0
Tropico 5,Kalypso Media,Haemimont Games,180000,2015-04-28,2018-08-20,2015.0
Just Dance 2016,Ubisoft,Ubisoft Paris,40000,2015-10-20,2018-04-05,2015.0
Persona 4: Dancing All Night,Atlus,Dingo Inc.,40000,2015-09-29,2018-05-31,2015.0
Hatsune Miku: Project Mirai DX,Sega,Sega,40000,2015-09-08,2018-05-29,2015.0
Doom (2016),Bethesda Softworks,id Software,240000,2016-05-13,2018-01-14,2016.0
Guitar Hero Live,Activision,FreeStyleGames,160000,2015-10-20,2018-03-15,2015.0
Life is Strange,Square Enix,DONTNOD Entertainment,160000,2016-01-19,2018-01-07,2016.0
Firewall: Zero Hour,Sony Interactive Entertainment,First Contact Entertainment Inc.,160000,2018-08-29,2018-09-26,2018.0
Resident Evil: Origins Collection,Capcom,Capcom,180000,2016-01-19,2018-09-04,2016.0
Go Vacation,Nintendo,Bandai Namco Studios,220000,2018-07-27,2019-03-30,2018.0
Burnout Paradise RemasteredRead the review,Electronic Arts,Stellar Entertainment,220000,2018-03-16,2018-02-24,2018.0
Dynasty Warriors 9,Tecmo Koei,Omega Force,60000,2018-02-13,2017-12-31,2018.0
Yakuza: Kiwami 2Read the review,Sega,Sega,60000,2018-08-28,2018-01-07,2018.0
Shin Megami Tensei IV: Apocalypse,Atlus,Atlus,50000,2016-09-20,2018-05-29,2016.0
Vampyr,Focus Home Interactive,DONTNOD Entertainment,190000,2018-06-05,2018-02-08,2018.0
WWE 2K17,2K Games,Yuke's,190000,2016-10-11,2018-04-05,2016.0
Rise of the Tomb Raider,Square Enix,Crystal Dynamics,120000,2015-11-10,2018-04-11,2015.0
Destiny 2: Forsaken,Activision,Bungie,110000,2018-09-04,2018-08-07,2018.0
Okami HD,Capcom,Clover Studio,120000,2017-12-12,2018-01-07,2017.0
Sniper: Ghost Warrior 3,City Interactive,City Interactive,150000,2017-04-25,2018-05-29,2017.0
Just Dance 2016,Ubisoft,Ubisoft Paris,60000,2015-10-20,2018-04-05,2015.0
Fist of The North Star: Lost Paradise,Sega,Sega,50000,2018-10-02,2018-09-11,2018.0
Nintendo Labo: Toy-Con 02 Robot Kit,Nintendo,Nintendo EPD,80000,2018-04-20,2018-11-18,2018.0
Hello Neighbor,Gearbox Software,Dynamic Pixels,160000,2018-07-27,2018-11-06,2018.0
NBA 2K17,2K Sports,Visual Concepts,60000,2016-09-16,2018-03-28,2016.0
The Sims 4: City Living,Electronic Arts,Maxis,300000,2016-11-01,2018-05-29,2016.0
Dragon Ball Z: Extreme Butoden,Namco Bandai Games,Arc System Works,30000,2015-10-20,2018-01-17,2015.0
Dead or Alive 5 Last Round,Tecmo Koei,Team Ninja,130000,2015-02-17,2018-11-20,2015.0
Sega Genesis Classics,Sega,Sega,210000,2018-05-29,2018-09-22,2018.0
The Sims 4: Get Together,Electronic Arts,Maxis,270000,2015-12-08,2018-05-29,2015.0
Gravity Rush 2,Sony Interactive Entertainment,SIE Japan Studio,50000,2017-01-20,2018-02-09,2017.0
World of Final Fantasy,Square Enix,Square Enix,110000,2016-10-25,2018-05-23,2016.0
Lego Star Wars: The Force Awakens,Warner Bros. Interactive Entertainment,TT Fusion,220000,2016-06-28,2018-03-31,2016.0
Marvel vs. Capcom: Infinite,Capcom,Capcom,50000,2017-09-19,2018-09-22,2017.0
Just Dance 2017,Ubisoft,Ubisoft Paris,50000,2016-10-25,2018-04-06,2016.0
NBA 2K17,2K Sports,Visual Concepts,110000,2016-09-16,2018-03-28,2016.0
The King of Fighters XIV,Atlus,SNK Playmore,20000,2016-08-23,2018-05-30,2016.0
Guitar Hero Live,Activision,FreeStyleGames,110000,2015-10-20,2018-03-15,2015.0
Dishonored: Death of the Outsider,Bethesda Softworks,Arkane Studios,180000,2017-09-15,2018-03-03,2017.0
Valkyria Chronicles Remastered,Sega,Sega,80000,2016-05-17,2018-09-11,2016.0
Call of Duty: Infinite Warfare,Activision,Infinity Ward,190000,2016-11-04,2018-01-14,2016.0
The Lego Ninjago Movie VideogameRead the review,Warner Bros. Interactive Entertainment,Traveller's Tales,90000,2017-09-22,2018-05-29,2017.0
LEGO Harry Potter CollectionRead the review,Warner Bros. Interactive Entertainment,Traveller's Tales,160000,2018-10-30,2018-10-27,2018.0
The Crew 2,Ubisoft,Ivory Tower,100000,2018-06-29,2018-07-19,2018.0
PlayerUnknown's Battlegrounds,Sony Interactive Entertainment,PUBG Corporation,150000,2018-12-07,2018-11-18,2018.0
Kirby: Battle Royale,Nintendo,HAL Laboratory,50000,2018-01-19,2018-01-03,2018.0
Farming Simulator 17,Focus Home Interactive,Giants Software,110000,2016-10-25,2018-04-06,2016.0
Tokyo Mirage Sessions #FE,Nintendo,Atlus,60000,2016-06-24,2020-07-23,2016.0
LEGO The IncrediblesRead the review,Warner Bros. Interactive Entertainment,Traveller's Tales,100000,2018-06-15,2018-11-06,2018.0
Chibi-Robo! Zip Lash,Nintendo,Nintendo,90000,2015-10-09,2018-01-14,2015.0
LEGO Marvel's Avengers,Warner Bros. Interactive Entertainment,Traveller's Tales,140000,2016-01-26,2018-04-06,2016.0
Farming Simulator 19,Focus Home Interactive,Giants Software,90000,2018-11-20,2018-12-19,2018.0
Cars 3: Driven to Win,Warner Bros. Interactive Entertainment,Avalanche Software,140000,2017-06-13,2018-02-25,2017.0
Payday 2,505 Games,Overkill Software,140000,2015-06-16,2018-01-08,2015.0
XCOM 2,2K Games,Firaxis Games,160000,2015-11-30,2018-05-29,2015.0
UEFA Euro 2016,Konami Digital Entertainment,Konami Digital Entertainment,220000,2016-04-21,2018-05-03,2016.0
DmC Devil May Cry: Definitive Edition,Capcom,QLOC,130000,2015-03-10,2018-05-01,2015.0
Hitman,Square Enix,IO Interactive,80000,2017-01-31,2018-05-01,2017.0
Sonic ManiaRead the review,Sega,PagodaWest Games,150000,2017-08-15,2018-08-15,2017.0
XCOM 2,2K Games,Firaxis Games,100000,2016-09-27,2018-05-29,2016.0
LEGO Ninjago: Shadow of Ronin,Warner Bros. Interactive Entertainment,TT Fusion,190000,2015-03-24,2018-01-26,2015.0
Resident Evil: Revelations 2Read the review,Capcom,Capcom,50000,2015-02-24,2018-04-15,2015.0
Battlefield: Hardline,Electronic Arts,EA DICE,90000,2015-03-17,2018-04-11,2015.0
Cities: Skylines,Koch Media,Colossal Order,70000,2017-08-15,2018-04-22,2017.0
Monopoly for Nintendo Switch,Ubisoft,Engine Software,220000,2017-10-31,2019-01-28,2017.0
NBA 2K19,2K Sports,Visual Concepts,20000,2018-09-11,2018-06-08,2018.0
Tom Clancy's Rainbow Six: Siege,Ubisoft,Ubisoft Montreal,90000,2015-12-01,2018-01-09,2015.0
LEGO Marvel's Avengers,Warner Bros. Interactive Entertainment,TT Fusion,170000,2016-01-26,2018-04-06,2016.0
My Hero One's Justice,Bandai Namco Entertainment,Byking,50000,2018-10-26,2018-09-12,2018.0
LEGO City Undercover,Warner Bros. Interactive Entertainment,TT Fusion,120000,2017-04-04,2018-05-24,2017.0
SoulCalibur VI,Bandai Namco Games,Project Soul,10000,2018-10-19,2018-11-07,2018.0
LEGO DC Super-VillainsRead the review,Warner Bros. Interactive Entertainment,Traveller's Tales,70000,2018-10-16,2018-06-04,2018.0
WWE 2K17,2K Games,Yuke's,130000,2016-10-11,2018-04-05,2016.0
Final Fantasy Type-0 HD,Square Enix,Square Enix,70000,2015-03-17,2018-01-21,2015.0
Call of Duty: Black Ops 3,Activision,Treyarch,280000,2015-11-06,2018-01-14,2015.0
Just Dance 2018,Ubisoft,Ubisoft Paris,150000,2017-10-24,2018-04-06,2017.0
Sniper Elite 4,Rebellion Developments,Rebellion Developments,90000,2017-02-14,2018-05-29,2017.0
Sword Art Online: Fatal BulletRead the review,Namco Bandai Games,Dimps Corporation,30000,2018-02-23,2018-02-23,2018.0
Lego Star Wars: The Force Awakens,Warner Bros. Interactive Entertainment,TT Fusion,130000,2016-06-28,2018-03-31,2016.0
Yooka-Laylee,Team17 Software,Playtonic Games,160000,2018-01-01,2018-05-31,2018.0
Just Dance 2017,Ubisoft,Ubisoft Paris,200000,2017-03-03,2018-04-06,2017.0
Overcooked! 2Read the review,Sold Out,Ghost Town Games,90000,2018-08-07,2018-06-14,2018.0
The Legend of Legacy,Atlus,Cattle Call,20000,2015-10-13,2018-05-29,2015.0
Cars 3: Driven to Win,Warner Bros. Interactive Entertainment,Avalanche Software,180000,2017-06-13,2018-01-14,2017.0
Skylanders Imaginators,Activision,Toys for Bob,120000,2016-10-16,2018-03-30,2016.0
Metal Gear Solid V: The Definitive Experience,Konami Digital Entertainment,Kojima Productions,80000,2016-10-11,2018-05-29,2016.0
Ever Oasis,Nintendo,GREZZO,80000,2017-06-23,2018-01-14,2017.0
Just Cause 4,Square Enix,Avalanche Studios,90000,2018-12-04,2018-12-19,2018.0
Sonic Forces,Sega,Sonic Team,110000,2017-11-07,2018-02-11,2017.0
Culdcept,NIS America,OmiyaSoft,10000,2017-10-03,2018-04-02,2017.0
Star Trek Bridge Crew,Ubisoft,Red Storm Entertainment,120000,2017-05-30,2018-04-09,2017.0
WarioWare Gold,Nintendo,Intelligent Systems,30000,2018-08-03,2018-11-18,2018.0
The Heavy Rain and Beyond: Two Souls Collection,Sony Computer Entertainment,Quantic Dream,240000,2016-03-01,2018-04-20,2016.0
Skylanders Imaginators,Activision,Toys for Bob,160000,2016-10-16,2018-03-30,2016.0
Just Dance 2017,Ubisoft,Ubisoft Paris,70000,2016-10-25,2018-04-06,2016.0
Spintires: MudRunner,Focus Home Interactive,Saber Interactive,120000,2017-10-31,2018-05-30,2017.0
Lego Star Wars: The Force Awakens,Warner Bros. Interactive Entertainment,TT Fusion,190000,2016-06-28,2018-03-31,2016.0
Onechanbara Z2: Chaos,NIS America,Tamsoft,30000,2015-07-21,2018-05-30,2015.0
Secret of Mana,Square Enix,Square,120000,2018-02-15,2018-02-26,2018.0
Rory McIlroy PGA Tour,Electronic Arts,EA Tiburon,90000,2015-07-14,2018-05-24,2015.0
The Binding of Isaac: Afterbirth+,Nicalis,Nicalis,80000,2017-03-17,2018-01-18,2017.0
Etrian Mystery Dungeon,Atlus,Spike Chunsoft,10000,2015-04-07,2018-07-26,2015.0
Dragon Ball: Xenoverse,Namco Bandai Games,Dimps Corporation,40000,2015-02-24,2018-09-11,2015.0
Pro Evolution Soccer 2017,Konami Digital Entertainment,PES Productions,120000,2016-09-13,2018-04-14,2016.0
Bravo Team,Sony Interactive Entertainment,Supermassive Games Ltd.,90000,2018-03-06,2018-09-11,2018.0
Etrian Odyssey V: Beyond the Myth,Atlus,Atlus,10000,2017-10-17,2018-01-15,2017.0
Killing Floor 2,Tripwire Interactive,Tripwire Interactive,30000,2016-01-01,2018-05-30,2016.0
Robinson: The Journey,Sony Interactive Entertainment,Crytek,90000,2016-11-08,2018-09-14,2016.0
Driveclub VR,Sony Interactive Entertainment,Evolution Studios,90000,2016-10-13,2018-09-25,2016.0
Shenmue I & II,Sega,Sega,100000,2018-08-21,2018-12-19,2018.0
Guitar Hero Live,Activision,FreeStyleGames,60000,2015-10-20,2018-03-15,2015.0
LEGO Jurassic World,Warner Bros. Interactive Entertainment,TT Fusion,160000,2015-06-12,2018-04-06,2015.0
Minecraft: Story Mode - Season Two,Telltale Games,Telltale Games,80000,2017-09-19,2018-08-07,2017.0
Skylanders Imaginators,Activision,Toys for Bob,50000,2016-10-16,2018-03-26,2016.0
Carnival Games,2K Games,Cat Daddy Games,140000,2018-11-06,2018-09-22,2018.0
The World Ends with You: Final Remix,Nintendo,Square Enix,80000,2018-10-12,2019-03-30,2018.0
One Piece: Pirate Warriors 3,Tecmo Koei,Omega Force,60000,2015-08-25,2018-01-12,2015.0
Friday the 13th: The Game,Gun Media,IllFonic,30000,2017-10-13,2018-05-30,2017.0
Total War: Attila,Sega,Creative Assembly,140000,2015-02-17,2018-05-29,2015.0
FIFA 18,EA Sports,EA Vancouver,190000,2017-09-29,2018-04-02,2017.0
Stella Glow,Atlus,imageepoch Inc.,10000,2015-11-17,2018-05-30,2015.0
Assassin's Creed Syndicate,Ubisoft,Ubisoft Quebec,90000,2015-11-19,2018-01-14,2015.0
Sword Art Online: Hollow Realization,Namco Bandai Games,Aquria,80000,2018-01-01,2019-03-22,2018.0
Dishonored 2,Bethesda Softworks,Arkane Studios,170000,2016-11-10,2019-07-16,2016.0
The Legend of Heroes: Trails of Cold Steel II,Xseed Games,Nihon Falcom Corporation,40000,2016-09-06,2018-10-29,2016.0
Jurassic World Evolution,Frontier Developments,Frontier Developments,90000,2018-07-03,2018-04-20,2018.0
My Hero One's Justice,Bandai Namco Entertainment,Byking,10000,2018-10-26,2018-09-12,2018.0
ReCore,Microsoft Studios,Armature Studio,60000,2016-09-13,2018-10-01,2016.0
F1 2015,Codemasters,Codemasters Birmingham,150000,2015-07-21,2018-05-23,2015.0
Tetris Effect,Sony Interactive Entertainment,Monstars Inc.,10000,2018-11-09,2018-12-19,2018.0
L.A. Noire,Rockstar Games,Team Bondi,90000,2017-11-14,2018-06-19,2017.0
Sonic Boom: Fire & Ice,Sega,Sanzaru Games,80000,2016-09-27,2020-08-07,2016.0
The Legend of Heroes: Trails of Cold Steel,Xseed Games,Nihon Falcom Corporation,30000,2015-12-22,2018-06-02,2015.0
Sid Meier's Civilization VI,2K Games,Firaxis Games,110000,2018-11-16,2018-12-19,2018.0
Trials Fusion,Ubisoft,RedLynx,100000,2015-01-01,2018-05-25,2015.0
Danganronpa V3: Killing Harmony,NIS America,Spike Chunsoft,50000,2017-09-26,2018-01-22,2017.0
Madden NFL 17,EA Sports,EA Tiburon,50000,2016-08-23,2018-04-01,2016.0
Darksiders IIIRead the review,THQ Nordic,Gunfire Games,70000,2018-11-27,2018-12-19,2018.0
Far Cry: Primal,Ubisoft,Ubisoft Montreal,160000,2016-03-01,2018-04-03,2016.0
Valkyria Chronicles 4Read the review,Sega,Sega,30000,2018-09-25,2018-06-19,2018.0
7th Dragon III Code: VFD,Sega,Sega,40000,2016-07-12,2018-04-20,2016.0
Tearaway Unfolded,Sony Computer Entertainment,Media Molecule,130000,2015-09-08,2018-11-27,2015.0
Toukiden: The Age of DemonsRead the review,Tecmo Koei,Omega Force,20000,2015-03-31,2018-10-29,2015.0
Persona 5,Atlus,Atlus,20000,2017-04-04,2018-01-02,2017.0
Call of Duty: Modern Warfare Remastered,Activision,Infinity Ward,60000,2017-07-27,2018-01-14,2017.0
.hack//G.U. Last Recode,Namco Bandai Games,CyberConnect2,40000,2017-11-03,2018-06-10,2017.0
Hello Neighbor,Gearbox Software,Dynamic Pixels,100000,2018-07-27,2018-11-06,2018.0
Ride,Milestone S.r.l.,Milestone S.r.l.,130000,2015-06-23,2018-04-24,2015.0
Lego Star Wars: The Force Awakens,Warner Bros. Interactive Entertainment,TT Fusion,140000,2016-06-28,2018-03-31,2016.0
Just Dance 2017,Ubisoft,Ubisoft Paris,120000,2016-10-25,2018-04-06,2016.0
Saints Row IV: Re-Elected,Deep Silver,Volition Inc.,90000,2015-01-27,2018-04-26,2015.0
The Escapists 2,Sold Out,Team17 Software,160000,2017-08-22,2019-02-22,2017.0
Farming Simulator 2015,Focus Home Interactive,Giants Software,90000,2015-05-19,2018-04-11,2015.0
Transformers: Devastation,Activision,PlatinumGames,90000,2015-10-06,2018-04-14,2015.0
Darksiders II: Deathinitive Edition,Nordic Games,Gunfire Games,100000,2015-10-30,2018-10-02,2015.0
The Elder Scrolls Online: Morrowind,Bethesda Softworks,ZeniMax Online Studios,90000,2017-06-06,2018-09-15,2017.0
Street Fighter 30th Anniversary Collection,Capcom,Capcom,70000,2018-05-29,2018-11-07,2018.0
A Way Out,Electronic Arts,Hazelight,50000,2018-03-23,2018-03-24,2018.0
Digimon World: Next Order,Namco Bandai Games,Bandai Namco Games,50000,2017-01-31,2018-04-21,2017.0
Just Dance 2019,Ubisoft,Ubisoft Paris,120000,2018-10-23,2018-09-28,2018.0
Payday 2,505 Games,Overkill Software,70000,2015-06-16,2018-01-08,2015.0
Skylanders: SuperChargers Racing,Activision,Beenox,150000,2015-09-20,2018-04-06,2015.0
Attack on Titan 2,Koei Tecmo,Omega Force,20000,2018-03-20,2018-03-30,2018.0
Tony Hawk's Pro Skater 5,Activision,Robomodo,80000,2015-09-29,2018-04-15,2015.0
Elex,THQ Nordic,Piranha Bytes,160000,2017-10-17,2018-06-30,2017.0
RIGS: Mechanized Combat League,Sony Interactive Entertainment,Guerrilla Cambridge,60000,2016-10-13,2018-11-27,2016.0
Corpse Party: Blood Drive,Xseed Games,Team GrisGris,10000,2015-10-13,2018-10-29,2015.0
Anno 2205,Ubisoft,Blue Byte,170000,2015-11-03,2018-05-30,2015.0
No Man's Sky,505 Games,Hello Games,40000,2018-07-24,2018-04-04,2018.0
Metal Gear Survive,Konami Digital Entertainment,Konami Digital Entertainment,60000,2018-02-20,2018-02-25,2018.0
DiRT 4,Deep Silver,Codemasters,100000,2017-06-06,2018-11-23,2017.0
Skylanders Imaginators,Activision,Toys for Bob,100000,2017-03-03,2018-03-26,2017.0
SingStar Celebration,Sony Interactive Entertainment,SIE London Studio,150000,2017-10-24,2018-04-07,2017.0
Pokémon Gold/Pokémon Silver,Nintendo,Game Freak,210000,2017-09-22,2018-08-03,2017.0
Code Name: S.T.E.A.M.,Nintendo,Intelligent Systems,50000,2015-03-13,2019-01-04,2015.0
Dead by Daylight,505 Games,Behaviour Interactive Inc.,60000,2017-06-20,2019-02-13,2017.0
Attack on Titan 2,Koei Tecmo,Omega Force,40000,2018-03-20,2018-03-30,2018.0
Micro Machines: World Series,Codemasters,Codemasters,160000,2017-06-30,2018-05-30,2017.0
F1 2016,Codemasters,Codemasters,120000,2016-08-19,2018-05-14,2016.0
Life Is Strange: Before the Storm,Square Enix,Deck Nine,60000,2018-03-06,2018-07-09,2018.0
The Legend of Heroes: Trails of Cold Steel II,Xseed Games,Nihon Falcom Corporation,40000,2016-09-06,2018-10-29,2016.0
Just Dance 2016,Ubisoft,Ubisoft Paris,60000,2015-10-20,2018-04-05,2015.0
