Title,Publisher,Developer,Japan Sales,Release Date,Last Update,Year
Street Fighter VRead the review,Capcom,Capcom,420000,2016-02-16,2018-01-08,2016.0
Assassin's Creed Odyssey,Ubisoft,Ubisoft Quebec,350000,2018-10-05,2018-11-17,2018.0
Rocket League,505 Games,Psyonix Studios,750000,2016-07-05,2018-04-04,2016.0
The Elder Scrolls Online: Tamriel Unlimited,Bethesda Softworks,ZeniMax Online Studios,390000,2015-06-09,2018-09-15,2015.0
Titanfall 2,Electronic Arts,Respawn Entertainment,370000,2016-10-28,2018-06-29,2016.0
Wolfenstein II: The New ColossusRead the review,Bethesda Softworks,MachineGames,580000,2017-10-27,2018-05-10,2017.0
FIFA 17,Electronic Arts,EA Canada,980000,2016-09-27,2018-03-28,2016.0
Fallout 76Read the review,Bethesda Softworks,Bethesda Game Studios,490000,2018-11-14,2018-12-02,2018.0
Lego Star Wars: The Force Awakens,Warner Bros. Interactive Entertainment,TT Fusion,780000,2016-06-28,2018-03-31,2016.0
EA Sports UFC 2,EA Sports,EA Canada,650000,2016-03-15,2018-04-20,2016.0
The Last Guardian,Sony Interactive Entertainment,SIE Japan Studio,580000,2016-12-06,2018-04-04,2016.0
Dark Souls IIRead the review,Namco Bandai Games,From Software,350000,2015-04-07,2018-04-23,2015.0
WWE 2K16,Take-Two Interactive,Yuke's,650000,2015-10-27,2018-04-11,2015.0
Project CARSRead the review,Bandai Namco Games,Slightly Mad Studios,760000,2015-05-12,2018-01-05,2015.0
Destiny: The Taken King,Activision,Bungie,230000,2015-09-15,2018-04-20,2015.0
Battlefield: Hardline,Electronic Arts,EA DICE,390000,2015-03-17,2018-04-11,2015.0
WWE 2K17,2K Games,Yuke's,700000,2016-10-11,2018-04-05,2016.0
Guitar Hero Live,Activision,FreeStyleGames,490000,2015-10-20,2018-03-15,2015.0
Minecraft: Story Mode,Mojang,Telltale Games,420000,2015-10-27,2018-01-13,2015.0
Mad Max (2013),Warner Bros. Interactive Entertainment,Avalanche Studios,590000,2015-09-01,2018-01-05,2015.0
Shadow of the ColossusRead the review,Sony Interactive Entertainment,Bluepoint Games,520000,2018-02-06,2018-11-26,2018.0
LEGO Dimensions,Warner Bros. Interactive Entertainment,Traveller's Tales,500000,2015-09-27,2018-03-19,2015.0
LEGO Jurassic World,Warner Bros. Interactive Entertainment,Traveller's Tales,560000,2015-06-12,2018-04-06,2015.0
The Elder Scrolls V: Skyrim,Bethesda Softworks,Bethesda Softworks,320000,2017-11-17,2018-01-01,2017.0
Dragon Quest VIII: Journey of the Cursed King,Nintendo,Level 5 / Armor Project,110000,2017-01-20,2018-01-07,2017.0
Middle-Earth: Shadow of WarRead the review,Warner Bros. Interactive Entertainment,Monolith Productions,290000,2017-10-10,2018-01-10,2017.0
Final Fantasy XV,Square Enix,Square Enix,300000,2016-11-29,2018-05-03,2016.0
The Elder Scrolls V: Skyrim VR,Bethesda Softworks,Bethesda Softworks,470000,2017-11-17,2018-09-11,2017.0
Crash Bandicoot N. Sane Trilogy,Activision,Toys for Bob,570000,2018-06-29,2018-11-07,2018.0
LEGO Marvel Super Heroes 2,Warner Bros. Interactive Entertainment,Traveller's Tales,600000,2017-11-14,2018-02-11,2017.0
Mafia III,2K Games,Hangar 13,480000,2016-10-07,2018-04-02,2016.0
Just Dance 2016,Ubisoft,Ubisoft Paris,580000,2015-10-20,2018-04-05,2015.0
FIFA 18,EA Sports,EA Vancouver,550000,2017-09-29,2018-04-02,2017.0
The Evil Within 2,Bethesda Softworks,Tango Gameworks,490000,2017-10-13,2018-05-10,2017.0
Prey (2017),Bethesda Softworks,Arkane Studios,620000,2017-05-05,2018-01-18,2017.0
LEGO Jurassic World,Warner Bros. Interactive Entertainment,Traveller's Tales,490000,2015-06-12,2018-04-06,2015.0
NBA 2K16,2K Sports,Visual Concepts,50000,2015-09-29,2018-03-28,2015.0
MLB 15: The Show,Sony Computer Entertainment America,SCE San Diego Studio,80000,2015-03-31,2018-05-01,2015.0
Just Cause 3,Square Enix,Avalanche Studios,410000,2015-12-01,2018-04-04,2015.0
Madden NFL 16,EA Sports,EA Tiburon,20000,2015-08-25,2018-03-31,2015.0
LEGO Marvel's Avengers,Warner Bros. Interactive Entertainment,Traveller's Tales,530000,2016-01-26,2018-04-06,2016.0
LEGO Jurassic World,Warner Bros. Interactive Entertainment,Traveller's Tales,410000,2015-06-12,2018-04-06,2015.0
EvolveRead the review,2K Games,Turtle Rock Studios,410000,2015-02-10,2018-05-10,2015.0
Far Cry: Primal,Ubisoft,Ubisoft Montreal,410000,2016-02-23,2018-04-03,2016.0
Just Dance 2017,Ubisoft,Ubisoft Paris,510000,2016-10-25,2018-04-06,2016.0
WWE 2K19,2K Sports,Visual Concepts,460000,2018-10-09,2018-06-22,2018.0
EA Sports UFC 3,EA Sports,EA Vancouver,410000,2018-02-02,2018-02-11,2018.0
Sea of Thieves,Microsoft Studios,Rare Ltd.,270000,2018-03-20,2018-09-25,2018.0
Fallout 76,Bethesda Softworks,Bethesda Game Studios,260000,2018-11-14,2018-11-02,2018.0
Monster Hunter: WorldRead the review,Capcom,Capcom,170000,2018-01-26,2018-01-30,2018.0
Overwatch,Blizzard Entertainment,Blizzard Entertainment,480000,2016-05-24,2018-03-24,2016.0
Final Fantasy X / X-2 HD Remaster,Square Enix,Square Enix,360000,2015-05-12,2019-03-22,2015.0
Injustice 2Read the review,Warner Bros. Interactive Entertainment,NetherRealm Studios,160000,2017-05-16,2018-01-06,2017.0
Minecraft: Story Mode,Mojang,Telltale Games,430000,2015-10-27,2018-01-13,2015.0
Ni no Kuni II: Revenant Kingdom,Namco Bandai Games,Level 5,310000,2018-03-23,2018-02-28,2018.0
Fortnite,Gearbox Software,Epic Games,320000,2017-07-21,2018-06-19,2017.0
LEGO Harry Potter Collection,Warner Bros. Interactive Entertainment,Traveller's Tales,680000,2016-10-18,2018-05-23,2016.0
Minecraft: Story Mode,Mojang,Telltale Games,420000,2015-10-27,2018-01-13,2015.0
LEGO Dimensions,Warner Bros. Interactive Entertainment,Traveller's Tales,310000,2015-09-27,2018-03-19,2015.0
Super Bomberman R,Konami Digital Entertainment,HexaDrive,320000,2017-03-03,2018-03-24,2017.0
Paper Mario: Color Splash,Nintendo,Intelligent Systems,370000,2016-10-07,2018-03-31,2016.0
Mario Party: Star Rush,Nintendo,"Nd Cube Co., Ltd.",370000,2016-11-04,2018-11-19,2016.0
For Honor,Ubisoft,Ubisoft Montreal,210000,2017-02-14,2018-01-05,2017.0
BioShock: The Collection,2K Games,"Blind Squirrel Digital, Inc",280000,2016-09-13,2018-04-26,2016.0
Dishonored 2,Bethesda Softworks,Arkane Studios,310000,2016-11-10,2019-07-16,2016.0
Plants vs. Zombies: Garden Warfare 2,Electronic Arts,PopCap Games,320000,2016-02-23,2018-05-23,2016.0
Until Dawn: Rush of Blood,Sony Interactive Entertainment,Supermassive Games Ltd.,210000,2016-10-13,2018-09-24,2016.0
Disney Infinity 3.0,Disney Interactive Studios,Avalanche Software,400000,2015-08-30,2018-03-20,2015.0
Farming Simulator 17,Focus Home Interactive,Giants Software,520000,2016-10-25,2018-04-06,2016.0
LEGO Jurassic World,Warner Bros. Interactive Entertainment,TT Fusion,390000,2015-06-12,2018-04-06,2015.0
Xenoblade Chronicles X,Nintendo,Monolith Soft,290000,2015-12-04,2018-01-06,2015.0
Metal Gear Solid V: The Phantom Pain,Konami Digital Entertainment,Kojima Productions,250000,2015-09-01,2018-05-04,2015.0
Guitar Hero Live,Activision,FreeStyleGames,230000,2015-10-20,2018-03-15,2015.0
FIFA 17,Electronic Arts,EA Canada,560000,2016-09-27,2018-03-28,2016.0
The Crew 2,Ubisoft,Ivory Tower,420000,2018-06-29,2018-07-19,2018.0
Pro Evolution Soccer 2016,Konami Digital Entertainment,PES Productions,430000,2015-09-15,2018-04-14,2015.0
Madden NFL 16,EA Sports,EA Tiburon,70000,2015-08-25,2018-03-31,2015.0
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,Square Enix,Square Enix,140000,2015-10-13,2018-01-15,2015.0
LEGO Dimensions,Warner Bros. Interactive Entertainment,Traveller's Tales,410000,2015-09-27,2018-03-19,2015.0
Assassin's Creed The Ezio Collection,Ubisoft,Ubisoft,520000,2016-11-15,2018-01-14,2016.0
NBA 2K16,2K Sports,Visual Concepts,120000,2015-09-29,2018-03-28,2015.0
Destiny: The Collection,Activision,Bungie,400000,2016-09-19,2018-09-14,2016.0
Shadow of the Tomb Raider,Square Enix,Eidos Montreal,250000,2018-09-14,2018-09-12,2018.0
LEGO Jurassic World,Warner Bros. Interactive Entertainment,Traveller's Tales,270000,2015-06-12,2018-04-06,2015.0
F1 2016,Codemasters,Codemasters,560000,2017-01-01,2018-05-14,2017.0
Rare ReplayRead the review,Microsoft Studios,Rare Ltd.,270000,2015-08-04,2018-09-25,2015.0
Mass Effect: Andromeda,Electronic Arts,BioWare Corp.,200000,2017-03-21,2018-07-03,2017.0
Hitman,Square Enix,IO Interactive,360000,2017-01-31,2018-05-01,2017.0
Minecraft: Story Mode,Mojang,Telltale Games,240000,2015-10-27,2018-01-13,2015.0
Fortnite,Gearbox Software,Epic Games,90000,2017-07-21,2018-06-19,2017.0
Just Dance 2019,Ubisoft,Ubisoft Paris,260000,2018-10-23,2018-09-28,2018.0
Just Dance 2018,Ubisoft,Ubisoft Paris,400000,2017-10-24,2018-04-06,2017.0
Quantum Break,Microsoft Studios,Remedy Entertainment,250000,2016-04-05,2018-09-25,2016.0
Dark Souls II,Namco Bandai Games,From Software,190000,2015-04-07,2018-02-07,2015.0
LEGO City Undercover,Warner Bros. Interactive Entertainment,TT Fusion,460000,2017-04-04,2018-05-24,2017.0
Pro Evolution Soccer 2018,Konami Digital Entertainment,Konami Digital Entertainment,360000,2017-09-12,2018-04-24,2017.0
Pro Evolution Soccer 2017,Konami Digital Entertainment,PES Productions,410000,2016-09-13,2018-04-14,2016.0
Rock Band 4,Harmonix Music Systems,Harmonix Music Systems,50000,2015-10-06,2018-05-23,2015.0
FIFA 19,Electronic Arts,EA Sports,470000,2018-09-28,2018-09-12,2018.0
Need for Speed (2015),Electronic Arts,Ghost Games,330000,2015-11-03,2018-04-03,2015.0
Sonic Forces,Sega,Sonic Team,270000,2017-11-07,2018-02-11,2017.0
The Sims 4,Electronic Arts,Maxis,240000,2017-11-17,2017-12-29,2017.0
Need for Speed: Payback,Electronic Arts,Ghost Games,240000,2017-11-10,2018-04-04,2017.0
Monster Hunter Generations UltimateRead the review,Capcom,Capcom,140000,2018-08-28,2018-08-30,2018.0
WipEout Omega Collection,Sony Interactive Entertainment,Clever Beans / EPOS Game Studios,490000,2017-06-06,2018-09-24,2017.0
LEGO Dimensions,Warner Bros. Interactive Entertainment,Traveller's Tales,180000,2015-09-27,2018-03-19,2015.0
Deus Ex: Mankind Divided,Square Enix,Eidos Montreal,340000,2016-08-23,2018-01-18,2016.0
Astro Bot Rescue Mission,Sony Interactive Entertainment,SIE Japan Studio,360000,2018-10-02,2018-09-17,2018.0
Mario & Sonic at the Rio 2016 Olympic Games,Nintendo,Arzest,290000,2016-03-18,2018-04-05,2016.0
Marvel vs. Capcom: InfiniteRead the review,Capcom,Capcom,190000,2017-09-19,2018-05-19,2017.0
Monster Hunter Stories,Capcom,Marvelous,150000,2017-09-08,2018-05-23,2017.0
Rocksmith 2014,Ubisoft,Ubisoft San Francisco,240000,2016-10-04,2018-03-08,2016.0
Fortnite,Warner Bros. Interactive Entertainment,Epic Games,240000,2018-11-16,2018-06-18,2018.0
Mario Party: The Top 100,Nintendo,"Nd Cube Co., Ltd.",170000,2017-11-10,2020-08-04,2017.0
Rayman Legends,Ubisoft,Ubisoft Montpellier,400000,2017-09-12,2019-01-02,2017.0
F1 2015,Codemasters,Codemasters Birmingham,450000,2015-07-21,2018-05-23,2015.0
Rocksmith 2014,Ubisoft,Ubisoft San Francisco,170000,2016-10-04,2018-03-08,2016.0
Diablo III: Eternal CollectionRead the review,Blizzard Entertainment,Blizzard Entertainment,220000,2018-11-02,2018-09-13,2018.0
LEGO Marvel Super Heroes 2,Warner Bros. Interactive Entertainment,Traveller's Tales,290000,2017-11-14,2018-02-11,2017.0
Evolve,2K Games,Turtle Rock Studios,200000,2015-02-10,2018-05-10,2015.0
Spyro Reignited Trilogy,Activision,Toys for Bob,240000,2018-11-13,2018-04-08,2018.0
Dead or Alive 5,Tecmo Koei,Team Ninja,150000,2015-02-17,2018-01-23,2015.0
Crash Bandicoot N. Sane Trilogy,Activision,Vicarious Visions,370000,2018-06-29,2018-11-07,2018.0
Yakuza Zero,Sega,Sega,160000,2017-01-24,2018-01-26,2017.0
LEGO Dimensions,Warner Bros. Interactive Entertainment,Traveller's Tales,220000,2015-09-27,2018-03-19,2015.0
LEGO City Undercover,Warner Bros. Interactive Entertainment,TT Fusion,330000,2017-04-04,2018-02-24,2017.0
One Piece: Burning Blood,Namco Bandai Games,Spike Chunsoft,260000,2016-05-31,2018-05-23,2016.0
Batman: Return to Arkham,Warner Bros. Interactive Entertainment,Rocksteady Studios,390000,2016-10-18,2018-06-10,2016.0
WWE 2K16,Take-Two Interactive,Yuke's,240000,2015-10-27,2018-04-11,2015.0
LEGO The Incredibles,Warner Bros. Interactive Entertainment,Traveller's Tales,210000,2018-06-15,2018-11-06,2018.0
Plants vs. Zombies: Garden Warfare 2,Electronic Arts,PopCap Games,310000,2016-02-23,2018-05-23,2016.0
World of Final Fantasy,Square Enix,Square Enix,210000,2016-10-25,2018-05-23,2016.0
South Park: The Fractured But Whole,Ubisoft,Ubisoft San Francisco,170000,2017-10-17,2018-04-06,2017.0
F1 2017,Deep Silver,Codemasters,470000,2017-08-25,2018-05-23,2017.0
Knowledge is Power,Sony Interactive Entertainment,Wish Studio,470000,2017-10-24,2018-04-07,2017.0
EA Sports UFC 2,EA Sports,EA Canada,190000,2016-03-15,2018-04-20,2016.0
L.A. Noire,Rockstar Games,Team Bondi,320000,2017-11-14,2018-06-19,2017.0
Just Dance 2016,Ubisoft,Ubisoft Paris,250000,2015-10-20,2018-04-05,2015.0
Skylanders: SuperChargers,Activision,Vicarious Visions,220000,2015-09-20,2018-04-06,2015.0
Hidden Agenda,Sony Interactive Entertainment,Supermassive Games Ltd.,420000,2017-10-24,2018-09-24,2017.0
Final Fantasy Explorers,Square Enix,Square Enix,100000,2016-01-26,2018-01-08,2016.0
Call of Duty: Modern Warfare Remastered,Activision,Infinity Ward,300000,2017-06-27,2018-01-14,2017.0
Dragon Quest Builders: Revive Alefgard,Square Enix,Square Enix,170000,2016-10-11,2018-01-11,2016.0
LEGO Worlds,Warner Bros. Interactive Entertainment,Traveller's Tales,330000,2017-09-05,2018-02-25,2017.0
Farming Simulator 19,Focus Home Interactive,Giants Software,550000,2018-11-20,2018-12-19,2018.0
Kirby and the Rainbow Curse,Nintendo,HAL Laboratory,140000,2015-02-20,2018-03-20,2015.0
Disney Magic World 2,Nintendo,High Horse Entertainment,250000,2016-10-14,2018-01-08,2016.0
The Lego Ninjago Movie Videogame,Warner Bros. Interactive Entertainment,Traveller's Tales,320000,2017-09-22,2018-05-29,2017.0
Resident Evil: Revelations 2,Capcom,Capcom,250000,2015-02-24,2018-04-15,2015.0
LEGO Marvel Super Heroes 2Read the review,Warner Bros. Interactive Entertainment,Traveller's Tales,200000,2017-11-14,2018-02-11,2017.0
Ultra Street Fighter II: The Final Challengers,Capcom,Capcom,220000,2017-05-26,2018-01-04,2017.0
StarCraft II: Legacy of the Void,Blizzard Entertainment,Blizzard Entertainment,300000,2015-11-10,2018-06-25,2015.0
Rock Band 4,Harmonix Music Systems,Harmonix Music Systems,60000,2015-10-06,2018-05-23,2015.0
WWE 2K17,2K Games,Yuke's,260000,2016-10-11,2018-04-05,2016.0
Starlink: Battle for Atlas,Ubisoft,Ubisoft Toronto,170000,2018-10-16,2019-03-22,2018.0
LEGO Jurassic WorldRead the review,Warner Bros. Interactive Entertainment,Traveller's Tales,200000,2015-06-12,2018-04-06,2015.0
Everybody's Golf,Sony Interactive Entertainment,Clap Hanz,220000,2017-08-29,2018-09-23,2017.0
