Title,Publisher,Developer,NA Sales,Release Date,Last Update,Year
Danganronpa V3: Killing Harmony,NIS America,Spike Chunsoft,250000,2017-09-26,2018-01-22,2017.0
Madden NFL 17,EA Sports,EA Tiburon,250000,2016-08-23,2018-04-01,2016.0
Darksiders IIIRead the review,THQ Nordic,Gunfire Games,250000,2018-11-27,2018-12-19,2018.0
Far Cry: Primal,Ubisoft,Ubisoft Montreal,250000,2016-03-01,2018-04-03,2016.0
Valkyria Chronicles 4Read the review,Sega,Sega,250000,2018-09-25,2018-06-19,2018.0
NBA Live 18,EA Sports,EA Sports,240000,2017-09-15,2018-05-30,2017.0
7th Dragon III Code: VFD,Sega,Sega,240000,2016-07-12,2018-04-20,2016.0
Tearaway Unfolded,Sony Computer Entertainment,Media Molecule,240000,2015-09-08,2018-11-27,2015.0
Toukiden: The Age of DemonsRead the review,Tecmo Koei,Omega Force,240000,2015-03-31,2018-10-29,2015.0
Persona 5,Atlus,Atlus,240000,2017-04-04,2018-01-02,2017.0
Call of Duty: Modern Warfare Remastered,Activision,Infinity Ward,240000,2017-07-27,2018-01-14,2017.0
.hack//G.U. Last Recode,Namco Bandai Games,CyberConnect2,240000,2017-11-03,2018-06-10,2017.0
Hello Neighbor,Gearbox Software,Dynamic Pixels,240000,2018-07-27,2018-11-06,2018.0
Ride,Milestone S.r.l.,Milestone S.r.l.,240000,2015-06-23,2018-04-24,2015.0
Lego Star Wars: The Force Awakens,Warner Bros. Interactive Entertainment,TT Fusion,240000,2016-06-28,2018-03-31,2016.0
Just Dance 2017,Ubisoft,Ubisoft Paris,240000,2016-10-25,2018-04-06,2016.0
Saints Row IV: Re-Elected,Deep Silver,Volition Inc.,240000,2015-01-27,2018-04-26,2015.0
The Escapists 2,Sold Out,Team17 Software,240000,2017-08-22,2019-02-22,2017.0
Farming Simulator 2015,Focus Home Interactive,Giants Software,240000,2015-05-19,2018-04-11,2015.0
Transformers: Devastation,Activision,PlatinumGames,240000,2015-10-06,2018-04-14,2015.0
Darksiders II: Deathinitive Edition,Nordic Games,Gunfire Games,240000,2015-10-30,2018-10-02,2015.0
The Elder Scrolls Online: Morrowind,Bethesda Softworks,ZeniMax Online Studios,240000,2017-06-06,2018-09-15,2017.0
Street Fighter 30th Anniversary Collection,Capcom,Capcom,240000,2018-05-29,2018-11-07,2018.0
A Way Out,Electronic Arts,Hazelight,240000,2018-03-23,2018-03-24,2018.0
Digimon World: Next Order,Namco Bandai Games,Bandai Namco Games,240000,2017-01-31,2018-04-21,2017.0
Just Dance 2019,Ubisoft,Ubisoft Paris,240000,2018-10-23,2018-09-28,2018.0
theHunter: Call of the Wild,THQ Nordic,Expansive Worlds,240000,2017-10-02,2018-06-19,2017.0
Payday 2,505 Games,Overkill Software,230000,2015-06-16,2018-01-08,2015.0
Skylanders: SuperChargers Racing,Activision,Beenox,230000,2015-09-20,2018-04-06,2015.0
Attack on Titan 2,Koei Tecmo,Omega Force,230000,2018-03-20,2018-03-30,2018.0
Tony Hawk's Pro Skater 5,Activision,Robomodo,230000,2015-09-29,2018-04-15,2015.0
Elex,THQ Nordic,Piranha Bytes,230000,2017-10-17,2018-06-30,2017.0
RIGS: Mechanized Combat League,Sony Interactive Entertainment,Guerrilla Cambridge,230000,2016-10-13,2018-11-27,2016.0
Corpse Party: Blood Drive,Xseed Games,Team GrisGris,230000,2015-10-13,2018-10-29,2015.0
Anno 2205,Ubisoft,Blue Byte,230000,2015-11-03,2018-05-30,2015.0
No Man's Sky,505 Games,Hello Games,230000,2018-07-24,2018-04-04,2018.0
Metal Gear Survive,Konami Digital Entertainment,Konami Digital Entertainment,230000,2018-02-20,2018-02-25,2018.0
Hatsune Miku: Project Mirai 2,Sega,Sega,230000,2015-05-26,2018-10-29,2015.0
DiRT 4,Deep Silver,Codemasters,230000,2017-06-06,2018-11-23,2017.0
Skylanders Imaginators,Activision,Toys for Bob,230000,2017-03-03,2018-03-26,2017.0
SingStar Celebration,Sony Interactive Entertainment,SIE London Studio,230000,2017-10-24,2018-04-07,2017.0
Pokémon Gold/Pokémon Silver,Nintendo,Game Freak,220000,2017-09-22,2018-08-03,2017.0
Code Name: S.T.E.A.M.,Nintendo,Intelligent Systems,220000,2015-03-13,2019-01-04,2015.0
Dead by Daylight,505 Games,Behaviour Interactive Inc.,220000,2017-06-20,2019-02-13,2017.0
Attack on Titan 2,Koei Tecmo,Omega Force,220000,2018-03-20,2018-03-30,2018.0
Micro Machines: World Series,Codemasters,Codemasters,220000,2017-06-30,2018-05-30,2017.0
F1 2016,Codemasters,Codemasters,220000,2016-08-19,2018-05-14,2016.0
Life Is Strange: Before the Storm,Square Enix,Deck Nine,220000,2018-03-06,2018-07-09,2018.0
The Legend of Heroes: Trails of Cold Steel II,Xseed Games,Nihon Falcom Corporation,220000,2016-09-06,2018-10-29,2016.0
Just Dance 2016,Ubisoft,Ubisoft Paris,220000,2015-10-20,2018-04-05,2015.0
Sumikko Gurashi: Mura o Tsukurundesu,Nippon Columbia,Nippon Columbia,220000,2016-07-21,2018-04-21,2016.0
Dragon Quest Builders: Revive Alefgard,Square Enix,Square Enix,220000,2018-02-09,2018-02-04,2018.0
Deadpool,Activision,High Moon Studios,220000,2015-11-18,2018-01-22,2015.0
Kingdom Come: Deliverance,Deep Silver,Warhorse Studios,220000,2018-02-13,2018-01-10,2018.0
Bladestorm: NightmareRead the review,Tecmo Koei,Omega Force,220000,2015-03-03,2018-05-30,2015.0
LEGO Harry Potter Collection,Warner Bros. Interactive Entertainment,Traveller's Tales,220000,2018-10-30,2018-10-27,2018.0
Zombie Army Trilogy,Rebellion Developments,Rebellion Developments,220000,2015-03-06,2018-05-30,2015.0
Return to PopoloCrois: A Story of Seasons Fairytale,Xseed Games,Marvelous Entertainment,220000,2016-03-01,2018-05-30,2016.0
Hitman 2,Warner Bros. Interactive Entertainment,IO Interactive,220000,2018-11-13,2018-11-22,2018.0
Danganronpa Another Episode: Ultra Despair Girls,NIS America,Spike Chunsoft,220000,2015-09-01,2018-01-03,2015.0
JudgmentRead the review,Sega,Sega,220000,2019-06-25,2019-04-05,2019.0
Warriors  Orochi 4,Koei Tecmo,Omega Force,220000,2018-10-16,2018-11-11,2018.0
Super Lucky's TaleRead the review,Microsoft Studios,Playful Corp.,220000,2017-11-07,2018-01-18,2017.0
EVE: Valkyrie,Sony Interactive Entertainment,CCP,210000,2016-10-13,2018-06-15,2016.0
The Legend of Heroes: Trails of Cold Steel,Xseed Games,Nihon Falcom Corporation,210000,2015-12-22,2018-10-31,2015.0
Ys VIII: Lacrimosa of Dana,NIS America,Falcom,210000,2017-09-12,2018-01-10,2017.0
Just Dance 2018,Ubisoft,Ubisoft Paris,210000,2017-10-24,2018-04-06,2017.0
Homefront: The Revolution,Deep Silver,Dambuster Studios,210000,2016-05-17,2018-05-24,2016.0
Fate/Extella: The Umbral Star,Xseed Games,Marvelous Entertainment,210000,2017-07-25,2018-01-02,2017.0
Radiant Historia: Perfect Chronology,Atlus,Atlus,210000,2018-02-13,2018-03-01,2018.0
FIFA 16,EA Sports,EA Canada,210000,2015-09-22,2018-04-01,2015.0
The Sims 4: Cats & Dogs,Electronic Arts,Maxis,210000,2017-11-10,2018-06-30,2017.0
Fallout 76,Bethesda Softworks,Bethesda Game Studios,210000,2018-11-14,2018-12-02,2018.0
NBA Live 16,EA Sports,EA Tiburon,210000,2015-09-29,2018-05-30,2015.0
Conan Exiles,Maximum Games,Funcom Oslo A/S,210000,2018-05-08,2018-09-26,2018.0
State of Decay: Year One Survival Edition,Microsoft Studios,Undead Labs,210000,2015-04-28,2018-09-25,2015.0
Devil May Cry HD Collection,Capcom,Capcom,210000,2018-03-13,2018-01-29,2018.0
7 Days to Die,Telltale Games,The Fun Pimps,210000,2016-06-28,2018-05-31,2016.0
Dragon's Dogma: Dark Arisen,Capcom,Capcom,210000,2017-10-03,2019-03-22,2017.0
Kan Colle Kai,Kadokawa Games,Kadokawa Games,210000,2016-02-18,2018-05-31,2016.0
NBA Live 18,EA Sports,EA Sports,210000,2017-09-15,2018-05-30,2017.0
theHunter: Call of the Wild,THQ Nordic,Expansive Worlds,210000,2017-10-02,2018-06-19,2017.0
LBX: Little Battlers eXperience,Nintendo,Level 5,210000,2015-08-21,2018-08-31,2015.0
Kingdom Hearts: The Story So Far,Square Enix,Square Enix,200000,2018-10-30,2018-10-07,2018.0
Disney Art Academy,Nintendo,Headstrong Games,200000,2016-05-13,2019-01-04,2016.0
Godzilla (2015),Namco Bandai Games,Natsume,200000,2015-07-14,2018-04-20,2015.0
Eagle Flight,Ubisoft,Ubisoft,200000,2016-11-08,2018-06-29,2016.0
3rd Super Robot Wars Z: Tengoku-Hen,Namco Bandai Games,Banpresto,200000,2015-04-02,2018-04-21,2015.0
Titanfall 2Read the review,Electronic Arts,Respawn Entertainment,200000,2016-10-28,2018-06-29,2016.0
God Eater Resurrection,Namco Bandai Games,Namco Bandai Games,200000,2016-10-01,2018-06-10,2016.0
Skylanders: SuperChargers Racing,Activision,Beenox,200000,2015-09-20,2018-04-06,2015.0
Agents of Mayhem,Deep Silver,Volition Inc.,200000,2017-08-15,2018-06-24,2017.0
Shin Megami Tensei: Strange Journey ReduxRead the review,Atlus,Atlus,200000,2018-05-15,2018-06-22,2018.0
Batman: Return to Arkham,Warner Bros. Interactive Entertainment,Rocksteady Studios,200000,2016-10-18,2018-06-10,2016.0
Valkyria Chronicles 4,Sega,Sega,190000,2018-09-25,2018-09-11,2018.0
Dishonored: Definitive Edition,Bethesda Softworks,Arkane Studios,190000,2015-08-25,2018-04-04,2015.0
One Piece: Burning Blood,Namco Bandai Games,Spike Chunsoft,190000,2016-05-31,2018-05-23,2016.0
The Great Ace Attorney - The Adventures of Ryuunosuke Naruhodou,Capcom,Capcom,190000,2015-07-09,2018-08-03,2015.0
FIFA 17,Electronic Arts,EA Canada,190000,2016-09-27,2018-03-28,2016.0
Call of Duty: WWII,Activision,Sledgehammer Games,190000,2017-11-03,2017-12-30,2017.0
Elite: Dangerous,Frontier Developments,Frontier Developments,190000,2017-06-27,2018-06-15,2017.0
Project X Zone 2,Namco Bandai Games,Monolith Soft,190000,2016-02-16,2018-06-14,2016.0
NBA Live 19,Electronic Arts,EA Tiburon,190000,2018-09-07,2018-06-13,2018.0
Captain Toad: Treasure Tracker,Nintendo,Nintendo EPD,190000,2018-07-13,2018-11-18,2018.0
LEGO Marvel's Avengers,Warner Bros. Interactive Entertainment,TT Fusion,190000,2016-01-26,2018-04-06,2016.0
Toukiden KiwamiRead the review,Tecmo Koei,Koei Tecmo Games,190000,2015-04-28,2018-07-31,2015.0
Street Fighter 30th Anniversary Collection,Capcom,Capcom,190000,2018-05-29,2018-11-07,2018.0
Creed: Rise to Glory,Sony Interactive Entertainment,Survios,190000,2018-09-25,2018-08-24,2018.0
God Eater 3,Bandai Namco Entertainment,Bandai Namco Studios,190000,2019-02-08,2018-12-19,2019.0
Tokyo Xanadu,Aksys Games,Nihon Falcom Corporation,190000,2017-06-30,2018-06-25,2017.0
Batman: A Telltale Game Series,Telltale Games,Telltale Games,190000,2016-09-13,2018-04-16,2016.0
Mirror's Edge Catalyst,Electronic Arts,EA DICE,190000,2016-06-07,2018-09-04,2016.0
The Surge,Focus Home Interactive,DECK13 Interactive,190000,2017-05-16,2018-01-06,2017.0
XCOM 2,2K Games,Firaxis Games,190000,2016-09-27,2018-05-29,2016.0
F1 2017,Deep Silver,Codemasters,190000,2017-08-25,2018-05-23,2017.0
Senran Kagura: Estival Versus,Xseed Games,Marvelous Entertainment,180000,2016-03-15,2018-06-29,2016.0
Bendy and the Ink Machine,Rooster Teeth Games,TheMeatly Games,180000,2018-11-20,2018-12-19,2018.0
MotoGP 15,Milestone S.r.l.,Milestone S.r.l.,180000,2015-06-24,2018-04-24,2015.0
Digimon Story: Cyber Sleuth,Namco Bandai Games,Media.Vision,180000,2016-02-02,2018-01-22,2016.0
Resident Evil: Revelations,Capcom,Capcom,180000,2017-08-29,2018-03-16,2017.0
Senran Kagura 2: Deep Crimson,Marvelous Entertainment,Tamsoft,180000,2015-09-15,2018-10-14,2015.0
Call of Duty: Modern Warfare Trilogy,Activision,Infinity Ward,180000,2016-05-17,2018-01-14,2016.0
Mobile Suit Gundam: Extreme VS Force,Namco Bandai Games,Namco Bandai Games,180000,2017-01-01,2018-06-30,2017.0
Hatsune Miku: Project Diva X,Sega,Sega,180000,2016-08-30,2018-06-30,2016.0
One Piece: Pirate Warriors 3,Tecmo Koei,Omega Force,180000,2015-08-25,2018-01-12,2015.0
Senran Kagura: Estival Versus,Xseed Games,Marvelous Entertainment,180000,2016-03-15,2018-06-29,2016.0
Back to the Future: The Game,Telltale Games,Telltale Games,180000,2015-10-13,2018-04-23,2015.0
Danganronpa V3: Killing Harmony,NIS America,Spike Chunsoft,180000,2017-09-26,2018-01-03,2017.0
Sega Genesis Classics,Sega,Sega,180000,2018-12-07,2018-09-22,2018.0
Cities: Skylines,Koch Media,Colossal Order,180000,2017-04-21,2018-01-14,2017.0
Lego Star Wars: The Force Awakens,Warner Bros. Interactive Entertainment,TT Fusion,180000,2016-06-28,2018-03-31,2016.0
Sniper: Ghost Warrior 3,City Interactive,City Interactive,180000,2017-04-25,2018-05-29,2017.0
Bendy and the Ink Machine,Rooster Teeth Games,TheMeatly Games,170000,2018-11-20,2018-12-19,2018.0
Rush: A Disney Pixar Adventure,Microsoft Studios,Asobo Studio,170000,2017-10-31,2018-09-25,2017.0
Katamari Damacy Reroll,Bandai Namco Entertainment,Bandai Namco Games,170000,2018-12-07,2018-09-13,2018.0
Mega Man 11,Capcom,Capcom,170000,2018-10-02,2018-06-04,2018.0
Resident Evil 6,Capcom,Capcom,170000,2016-03-29,2018-03-30,2016.0
Final Fantasy XIV: Heavensward,Square Enix,Square Enix,170000,2015-06-23,2018-04-22,2015.0
Final Fantasy XIV: Stormblood,Square Enix,Square Enix,170000,2017-06-20,2018-06-30,2017.0
Just Dance 2019,Ubisoft,Ubisoft Paris,170000,2018-10-23,2018-09-28,2018.0
Just Dance 2018,Ubisoft,Ubisoft Paris,170000,2017-10-24,2018-04-06,2017.0
BlazBlue: Central Fiction,Aksys Games,Arc System Works,170000,2016-11-01,2019-01-25,2016.0
MXGP 3: The Official Motocross Videogame,Milestone,Milestone,170000,2017-06-20,2018-06-25,2017.0
Valkyrie Drive: Bhikkhuni,PQube,Marvelous Entertainment,170000,2016-10-11,2018-06-30,2016.0
TT Isle of Man: Ride on the Edge,Big Ben Interactive,Kylotonn,170000,2018-03-06,2018-03-07,2018.0
Axiom Verge,Thomas Happ Games,Thomas Happ Games,170000,2017-11-21,2018-01-12,2017.0
F1 2018,Codemasters,Codemasters Birmingham,170000,2018-08-24,2018-09-26,2018.0
NASCAR '15,Deep Silver,Eutechnyx,170000,2015-05-22,2018-04-14,2015.0
Sports Party,Ubisoft,Magic Pockets,170000,2018-10-30,2018-11-02,2018.0
Harvest Moon: Light of Hope,Natsume,Natsume,170000,2018-05-29,2018-06-14,2018.0
Sumikko Gurashi: Omise Hajimerundesu,Nippon Columbia,Nippon Columbia,170000,2015-11-19,2018-04-21,2015.0
Pac-Man Championship Edition 2 + Arcade Game Series,Namco Bandai Games,Namco Bandai Games,160000,2016-11-01,2018-06-19,2016.0
Ride 2,Milestone S.r.l,Milestone S.r.l.,160000,2017-02-14,2018-06-25,2017.0
Dead Rising 4: Frank's Big Package,Capcom,Capcom,160000,2017-12-05,2018-09-25,2017.0
Theatrhythm Dragon Quest,Square Enix,Square Enix,160000,2015-03-26,2018-06-30,2015.0
Digimon Story: Cyber Sleuth - Hacker's Memory,Namco Bandai Games,Media.Vision,160000,2018-01-19,2018-01-07,2018.0
Battlezone,Sony Interactive Entertainment,Rebellion Developments,160000,2016-10-13,2018-06-30,2016.0
Little Nightmares,Namco Bandai Games,Tarsier Studios,160000,2017-04-28,2019-02-20,2017.0
Berserk and the Band of the Hawk,Tecmo Koei,Omega Force,160000,2017-02-21,2018-04-21,2017.0
Just Cause 3,Square Enix,Avalanche Studios,160000,2015-12-01,2018-04-04,2015.0
BlazBlue: Chrono Phantasma Extend,Aksys Games,Arc System Works,160000,2015-06-30,2018-07-09,2015.0
Pro Baseball Spirits 2015,Konami Digital Entertainment,"Konami Digital Entertainment, Inc.",160000,2015-03-26,2018-05-01,2015.0
Pillars of Eternity,Paradox Interactive,Obsidian Entertainment,160000,2017-08-29,2018-04-15,2017.0
Pro Yakyuu Famista Returns,Namco Bandai Games,Bandai Namco Games,160000,2015-10-08,2018-06-30,2015.0
3rd Super Robot Wars Z: Tengoku-Hen,Namco Bandai Games,Banpresto,160000,2015-04-02,2018-04-21,2015.0
Valkyria Revolution,Sega,Media.Vision,160000,2017-06-27,2018-01-21,2017.0
Bendy and the Ink Machine,Rooster Teeth Games,TheMeatly Games,160000,2018-11-20,2018-12-19,2018.0
Overcooked! 2,Sold Out,Ghost Town Games,160000,2018-08-07,2018-06-14,2018.0
Xenoblade Chronicles 2: Torna ~ The Golden Country,Nintendo,Monolith Soft,160000,2018-09-21,2018-09-26,2018.0
Metal Gear Solid V: The Phantom Pain,Konami Digital Entertainment,Kojima Productions,160000,2015-09-01,2018-09-12,2015.0
Gravity Rush Remastered,Sony Computer Entertainment,Bluepoint Games,160000,2016-02-02,2018-09-23,2016.0
Destiny 2,Activision,Bungie,160000,2017-10-23,2018-04-20,2017.0
Assassin's Creed Rogue Remastered,Ubisoft,Ubisoft,150000,2018-03-20,2018-01-29,2018.0
Wolfenstein: The Old Blood,Bethesda Softworks,MachineGames,150000,2015-05-05,2018-04-21,2015.0
Just Dance 2019,Ubisoft,Ubisoft Paris,150000,2018-10-23,2018-09-28,2018.0
Oreshika: Tainted BloodlinesRead the review,Sony Computer Entertainment,Alfa System,150000,2015-03-03,2018-09-16,2015.0
Fire Emblem Warriors,Nintendo,Omega Force,150000,2017-10-20,2020-08-03,2017.0
Psycho-Pass: Mandatory Happiness,NIS America,5pb. Inc.,150000,2016-09-13,2018-07-03,2016.0
Brothers: A Tale of Two Sons,505 Games,Starbreeze Studios,150000,2015-08-12,2018-06-27,2015.0
Steins;Gate 0,PQube,5pb. Inc.,150000,2016-11-29,2018-06-10,2016.0
Toukiden 2,Tecmo Koei,Omega Force,150000,2017-03-21,2018-06-03,2017.0
NBA Live 19,Electronic Arts,EA Tiburon,150000,2018-09-07,2018-06-13,2018.0
Atelier Sophie: The Alchemist of the Mysterious Book,Tecmo Koei,Gust,150000,2016-06-07,2018-01-01,2016.0
RiME,Grey Box,Tequila Works,150000,2017-11-21,2018-08-11,2017.0
Monster Hunter Diary: Poka Poka Airou Village DX,Capcom,From Software,150000,2015-09-10,2018-06-30,2015.0
The Escapists 2,Sold Out,Team17 Software,150000,2017-08-22,2019-02-22,2017.0
Transformers: Devastation,Activision,PlatinumGames,150000,2015-10-06,2018-04-14,2015.0
Fate/Extella: The Umbral Star,Xseed Games,Marvelous Entertainment,150000,2017-01-17,2018-01-13,2017.0
Attack on Titan,Tecmo Koei,Omega Force,150000,2017-01-01,2018-09-11,2017.0
Spintires: MudRunner,Focus Home Interactive,Saber Interactive,150000,2017-10-31,2018-05-30,2017.0
Dragon Quest Builders 2,Square Enix,Square Enix,150000,2019-07-12,2019-04-06,2019.0
Gear.Club Unlimited,Microids,Eden Games,150000,2017-11-21,2018-01-07,2017.0
Toukiden 2,Tecmo Koei,Omega Force,150000,2017-03-21,2018-06-03,2017.0
DmC Devil May Cry: Definitive Edition,Capcom,QLOC,150000,2015-03-10,2018-05-01,2015.0
Attack on TitanRead the review,Tecmo Koei,Omega Force,150000,2016-08-30,2018-09-11,2016.0
Metroid Prime: Federation Force,Nintendo,Next Level Games,150000,2016-08-19,2018-07-02,2016.0
Super Robot Wars V,Namco Bandai Games,B.B. Studio,150000,2017-02-23,2018-06-30,2017.0
Blue Reflection: Maboroshi ni Mau - Shoujo no Ken,Tecmo Koei,Gust,140000,2017-09-26,2018-07-02,2017.0
Tony Hawk's Pro Skater 5,Activision,Robomodo,140000,2015-09-29,2018-04-15,2015.0
Cyberdimension Neptunia: 4 Goddesses Online,Idea Factory International,Compile Heart,140000,2017-10-10,2018-07-04,2017.0
Grand Kingdom,NIS America,Monochrome Corporation,140000,2016-06-28,2018-07-03,2016.0
Arslan: The Warriors of Legend,Tecmo Koei,Koei Tecmo Games,140000,2016-02-09,2018-07-31,2016.0
Pro Baseball Spirits 2015,Konami Digital Entertainment,"Konami Digital Entertainment, Inc.",140000,2015-03-26,2018-05-01,2015.0
Etrian Odyssey 2 Untold: Knight of Fafnir,Atlus,Atlus,140000,2015-08-04,2018-01-30,2015.0
Dragon Quest Builders 2,Square Enix,Square Enix,140000,2019-07-12,2019-04-06,2019.0
Run for Money CHO Tousouchuu,Namco Bandai Games,Bandai Namco Games,140000,2015-07-09,2018-07-02,2015.0
Battlefield: Hardline,Electronic Arts,EA DICE,140000,2015-03-17,2018-04-11,2015.0
Under Night In-Birth,Aksys Games,Ecole Software,140000,2015-02-24,2018-11-09,2015.0
South Park: The Fractured But Whole,Ubisoft,Ubisoft San Francisco,140000,2018-04-24,2018-04-06,2018.0
Adventure Time: Finn & Jake Investigations,Little Orbit,Vicious Cycle,140000,2015-10-20,2018-03-17,2015.0
Taiko no Tatsujin: Don Don! Mystery Adventure,Namco Bandai Games,Namco Bandai Games,140000,2016-06-16,2018-07-02,2016.0
Guilty Gear Xrd -Revelator-,Aksys Games,Arc System Works,140000,2016-06-07,2018-04-25,2016.0
We Happy Few,Gearbox Software,Compulsion Games,140000,2018-08-10,2018-09-17,2018.0
Rocksmith 2014 Edition Remastered,Ubisoft,Ubisoft,140000,2016-10-04,2018-06-19,2016.0
Assassination Classroom: Grand Siege on Korosensei,Namco Bandai Games,Bandai Namco Games,140000,2015-03-12,2018-07-03,2015.0
Mega Man X Legacy Collection 1+2,Capcom Entertainment,Digital Eclipse Software,140000,2018-07-24,2018-08-18,2018.0
Resident Evil: Revelations 2,Capcom,Capcom,140000,2015-03-20,2018-04-15,2015.0
Dishonored: Death of the Outsider,Bethesda Softworks,Arkane Studios,140000,2017-09-15,2018-03-03,2017.0
The Crew: Wild Run,Ubisoft,Ivory Tower,140000,2015-11-17,2018-01-04,2015.0
MXGP 2,Milestone S.r.l,Milestone S.r.l.,140000,2016-06-21,2018-06-19,2016.0
My Hero One's Justice,Bandai Namco Entertainment,Byking,140000,2018-10-26,2018-09-12,2018.0
Gundam Breaker 3,Namco Bandai Games,Namco Bandai Games,140000,2016-03-03,2018-07-03,2016.0
Rodea the Sky Soldier,NIS America,Kadokawa Games,140000,2015-11-10,2018-04-06,2015.0
Ys VIII: Lacrimosa of Dana,NIS America,Falcom,140000,2017-09-12,2018-01-10,2017.0
MotoGP 17,Koch Media,Milestone S.r.l.,140000,2017-07-11,2018-06-25,2017.0
Fairy Fencer F: Advent Dark Force,Idea Factory International,Compile Heart,140000,2016-07-26,2018-07-03,2016.0
Jikkyou Powerful Pro Baseball Heroes,Konami Digital Entertainment,Konami,140000,2016-12-15,2018-07-03,2016.0
The Elder Scrolls Online: Morrowind,Bethesda Softworks,ZeniMax Online Studios,140000,2017-06-06,2018-09-15,2017.0
Tropico 5Read the review,Kalypso Media,Haemimont Games,140000,2015-01-01,2018-08-20,2015.0
NBA 2K Playgrounds 2,2K Games,Saber Interactive,140000,2018-11-09,2018-09-11,2018.0
Resident Evil: Revelations 2,Sony Computer Entertainment,Capcom,130000,2015-08-15,2018-04-15,2015.0
Dragon Quest Builders: Revive Alefgard,Square Enix,Square Enix,130000,2016-01-28,2018-01-11,2016.0
Divinity: Original Sin II,Bandai Namco Entertainment,Larian Studios,130000,2018-08-31,2018-06-04,2018.0
Samurai Warriors 4-II,Tecmo Koei,Omega Force,130000,2015-09-29,2018-05-02,2015.0
The Golf Club,Maximum Games,HB Studios,130000,2015-04-28,2018-11-10,2015.0
Hatsune Miku: Project Diva X,Sega,Sega,130000,2016-08-30,2018-06-30,2016.0
New Gundam Breaker,Namco Bandai Games,Bandai Namco Games,130000,2018-06-22,2018-04-21,2018.0
Yakuza Kiwami,Sega,Sega,130000,2016-01-21,2018-01-02,2016.0
R.B.I. Baseball 18,MLB Advanced Media,MLB Advanced Media,130000,2018-03-20,2018-02-27,2018.0
Nickelodeon Kart Racers,GameMill Entertainment,Bamtang,130000,2018-10-23,2020-09-21,2018.0
Pro Baseball Famista Climax,Namco Bandai Games,Namco Bandai Games,130000,2017-04-20,2018-07-03,2017.0
Super Robot Wars BX,Namco Bandai Games,Bandai Namco Games,130000,2015-08-20,2018-07-03,2015.0
Just Dance 2017,Ubisoft,Ubisoft Paris,130000,2016-10-25,2018-04-06,2016.0
Trillion: God of Destruction,Idea Factory,Compile Heart,130000,2016-03-29,2018-11-12,2016.0
Destiny 2: Forsaken,Activision,Bungie,130000,2018-09-04,2018-08-07,2018.0
Super Robot Wars X,Bandai Namco Games,Bandai Namco,130000,2018-03-29,2018-04-07,2018.0
R.B.I. Baseball 18,MLB Advanced Media,MLB.com,130000,2018-03-20,2018-01-20,2018.0
Project CARS,Bandai Namco Games,Slightly Mad Studios,130000,2015-05-12,2018-01-05,2015.0
Hasbro Family Fun Pack,Ubisoft,Ubisoft,130000,2015-10-20,2018-06-19,2015.0
NASCAR Heat 2,704Games,Monster Games,130000,2017-09-12,2018-06-25,2017.0
Call of Duty: Black Ops IIII,Activision,Treyarch,130000,2018-10-12,2018-11-07,2018.0
Rocksmith 2014 Edition Remastered,Ubisoft,Ubisoft,130000,2016-10-04,2018-06-19,2016.0
Hyperdimension Neptunia U: Action Unleashed,Idea Factory International,Compile Heart,130000,2015-05-19,2018-07-03,2015.0
Bulletstorm: Full Clip Edition,Gearbox Software,People Can Fly,130000,2017-04-07,2018-06-25,2017.0
Valentino Rossi: The Game,Namco Bandai Games,Milestone S.r.l.,130000,2016-07-26,2018-06-25,2016.0
MegaTagmension Blanc + Neptune VS Zombies,Idea Factory International,Compile Heart,130000,2016-05-10,2018-07-03,2016.0
Pro Evolution Soccer 2016,Konami Digital Entertainment,PES Productions,130000,2015-09-15,2018-04-14,2015.0
The Legend of Heroes: Trails of Cold Steel IVRead the review,NIS America,Falcom,130000,2020-10-27,2018-08-18,2020.0
Golf Club 2,Maximum Games,HB Studios,130000,2017-06-27,2018-07-03,2017.0
NBA Live 16,EA Sports,EA Tiburon,130000,2015-09-29,2018-05-30,2015.0
Persona Dancing: Endless Night Collection,Atlus,Atlus,130000,2018-12-04,2018-08-12,2018.0
Goosebumps: The Game,GameMill Entertainment,WayForward,130000,2018-10-09,2018-06-14,2018.0
NASCAR Heat 3,704Games,Monster Games,130000,2018-09-07,2018-07-09,2018.0
Rugby 15,Maximum Games,HB Studios,130000,2015-02-24,2018-09-17,2015.0
Paw Patrol on a Roll,Outright Games,Outright Games,130000,2018-10-23,2018-08-07,2018.0
Sonic Mania,Sega,PagodaWest Games,130000,2017-08-15,2018-08-15,2017.0
Mass Effect: Andromeda,Electronic Arts,BioWare Corp.,130000,2017-03-21,2018-07-03,2017.0
Corpse Party: Back to School Edition,Xseed Games,Xseed Games,130000,2016-10-25,2018-01-14,2016.0
Utawarerumono: Mask of Truth,Atlus,Aqua Plus,130000,2017-09-05,2018-06-03,2017.0
Shin Megami Tensei: Devil Survivor 2 Record BreakerRead the review,Atlus,Atlus,130000,2015-05-05,2018-01-31,2015.0
The Legend of Heroes: Trails of Cold Steel IIIRead the review,NIS America,Nihon Falcom Corporation,130000,2019-09-24,2018-07-03,2019.0
Little Dragons Café,Aksys Games,Aksys Games,130000,2018-08-24,2018-09-26,2018.0
Utawarerumono: Mask of Deception,Atlus,Aqua Plus,130000,2017-05-23,2019-03-23,2017.0
