Title,Publisher,Developer,NA Sales,Release Date,Last Update,Year
Need for Speed: Payback,Electronic Arts,Ghost Games,2180000,2017-11-10,2018-04-04,2017.0
Destiny: The Taken King,Activision,Bungie,2180000,2015-09-15,2018-04-20,2015.0
Spyro Reignited TrilogyRead the review,Activision,Toys for Bob,2170000,2018-11-13,2018-04-08,2018.0
PlayerUnknown's Battlegrounds,Microsoft Studios,PUBG Corporation,2170000,2017-12-12,2018-01-16,2017.0
PlayStation VR Worlds,Sony Interactive Entertainment,SIE London Studio,2160000,2016-10-13,2018-04-06,2016.0
Battlefield: Hardline,Electronic Arts,EA DICE,2150000,2015-03-17,2018-04-11,2015.0
Rise of the Tomb Raider,Square Enix,Crystal Dynamics,2069999,2016-10-11,2018-04-11,2016.0
The Elder Scrolls Online: Tamriel Unlimited,Bethesda Softworks,ZeniMax Online Studios,2049999,2015-06-09,2018-09-15,2015.0
Middle-Earth: Shadow of War,Warner Bros. Interactive Entertainment,Monolith Productions,2040000,2017-10-10,2018-01-10,2017.0
Dragon Quest XI: Echoes of an Elusive Age,Square Enix,Square Enix,2040000,2018-09-04,2018-09-11,2018.0
NBA 2K17,2K Sports,Visual Concepts,2040000,2016-09-16,2018-03-28,2016.0
Rocket League,505 Games,Psyonix Studios,2020000,2016-07-05,2018-04-04,2016.0
NBA 2K18,2K Sports,Visual Concepts,2020000,2017-09-19,2018-04-02,2017.0
Call of Duty: Black Ops 3,Activision,Treyarch,2009999,2015-11-06,2018-01-14,2015.0
Just Cause 3,Square Enix,Avalanche Studios,1980000,2015-12-01,2018-04-04,2015.0
Dishonored 2,Bethesda Softworks,Arkane Studios,1970000,2016-11-10,2018-04-25,2016.0
Call of Duty: Black Ops 3,Activision,Treyarch,1950000,2015-11-06,2018-01-14,2015.0
Star Wars Battlefront II (2017),Electronic Arts,EA DICE,1920000,2017-11-17,2017-12-29,2017.0
Madden NFL 18,EA Sports,EA Tiburon,1910000,2017-08-25,2018-04-03,2017.0
Minecraft,Mojang,4J Studios,1890000,2018-06-21,2019-01-26,2018.0
Forza Horizon 4,Microsoft Studios,Playground Games,1840000,2018-10-02,2018-10-01,2018.0
The Elder Scrolls V: Skyrim Special Edition,Bethesda Softworks,Bethesda Softworks,1830000,2016-10-28,2018-04-01,2016.0
Dragon Quest XI,Square Enix,Square Enix,1820000,2017-07-29,2018-01-05,2017.0
Far Cry 5,Ubisoft,Ubisoft Montreal,1780000,2018-03-27,2018-02-28,2018.0
For Honor,Ubisoft,Ubisoft Montreal,1750000,2017-02-14,2018-01-09,2017.0
Mortal Kombat X,Warner Bros. Interactive Entertainment,NetherRealm Studios,1740000,2015-04-14,2018-01-04,2015.0
NBA 2K19,2K Sports,Visual Concepts,1740000,2018-09-11,2018-07-28,2018.0
Shadow of the Tomb Raider,Square Enix,Eidos Montreal,1740000,2018-09-14,2018-09-12,2018.0
Titanfall 2,Electronic Arts,Respawn Entertainment,1720000,2016-10-28,2018-06-29,2016.0
Injustice 2,Warner Bros. Interactive Entertainment,NetherRealm Studios,1720000,2017-05-16,2018-01-06,2017.0
Persona 5,Atlus,Atlus,1640000,2017-04-04,2017-12-31,2017.0
The Order: 1886Read the review,Sony Computer Entertainment,Ready at Dawn,1620000,2015-02-20,2018-01-02,2015.0
Tom Clancy's Ghost Recon Wildlands,Ubisoft,Ubisoft Paris,1610000,2017-03-07,2018-04-01,2017.0
FIFA 16,EA Sports,EA Canada,1590000,2015-09-22,2018-04-01,2015.0
Batman: Arkham Knight,Warner Bros. Interactive Entertainment,Rocksteady Studios,1580000,2015-06-23,2018-01-04,2015.0
Battlefield V,Electronic Arts,EA DICE,1550000,2018-11-20,2018-12-19,2018.0
Forza Motorsport 7Read the review,Microsoft Studios,Turn 10 Studios,1520000,2017-10-03,2018-01-12,2017.0
Madden NFL 19,EA Sports,EA Tiburon,1510000,2018-08-10,2018-02-27,2018.0
Mass Effect: Andromeda,Electronic Arts,BioWare Corp.,1490000,2017-03-21,2018-07-03,2017.0
Minecraft,Mojang,4J Studios,1470000,2016-06-17,2018-08-05,2016.0
Dying Light,Warner Bros. Interactive Entertainment,Techland,1470000,2016-02-06,2018-05-04,2016.0
Assassin's Creed Syndicate,Ubisoft,Ubisoft Quebec,1440000,2015-10-23,2018-01-14,2015.0
South Park: The Fractured But Whole,Ubisoft,Ubisoft San Francisco,1430000,2017-10-17,2018-04-06,2017.0
The Sims 4,Electronic Arts,Maxis,1390000,2017-11-17,2017-12-29,2017.0
Street Fighter VRead the review,Capcom,Capcom,1390000,2016-02-16,2018-01-08,2016.0
Assassin's Creed Odyssey,Ubisoft,Ubisoft Quebec,1390000,2018-10-05,2018-11-17,2018.0
Rocket League,505 Games,Psyonix Studios,1380000,2016-07-05,2018-04-04,2016.0
The Elder Scrolls Online: Tamriel Unlimited,Bethesda Softworks,ZeniMax Online Studios,1380000,2015-06-09,2018-09-15,2015.0
Titanfall 2,Electronic Arts,Respawn Entertainment,1370000,2016-10-28,2018-06-29,2016.0
Wolfenstein II: The New ColossusRead the review,Bethesda Softworks,MachineGames,1360000,2017-10-27,2018-05-10,2017.0
FIFA 17,Electronic Arts,EA Canada,1360000,2016-09-27,2018-03-28,2016.0
Fallout 76Read the review,Bethesda Softworks,Bethesda Game Studios,1320000,2018-11-14,2018-12-02,2018.0
Lego Star Wars: The Force Awakens,Warner Bros. Interactive Entertainment,TT Fusion,1310000,2016-06-28,2018-03-31,2016.0
EA Sports UFC 2,EA Sports,EA Canada,1310000,2016-03-15,2018-04-20,2016.0
The Last Guardian,Sony Interactive Entertainment,SIE Japan Studio,1290000,2016-12-06,2018-04-04,2016.0
Dark Souls IIRead the review,Namco Bandai Games,From Software,1290000,2015-04-07,2018-04-23,2015.0
WWE 2K16,Take-Two Interactive,Yuke's,1290000,2015-10-27,2018-04-11,2015.0
Project CARSRead the review,Bandai Namco Games,Slightly Mad Studios,1280000,2015-05-12,2018-01-05,2015.0
Destiny: The Taken King,Activision,Bungie,1270000,2015-09-15,2018-04-20,2015.0
Battlefield: Hardline,Electronic Arts,EA DICE,1240000,2015-03-17,2018-04-11,2015.0
WWE 2K17,2K Games,Yuke's,1220000,2016-10-11,2018-04-05,2016.0
Guitar Hero Live,Activision,FreeStyleGames,1210000,2015-10-20,2018-03-15,2015.0
Minecraft: Story Mode,Mojang,Telltale Games,1200000,2015-10-27,2018-01-13,2015.0
Mad Max (2013),Warner Bros. Interactive Entertainment,Avalanche Studios,1200000,2015-09-01,2018-01-05,2015.0
Shadow of the ColossusRead the review,Sony Interactive Entertainment,Bluepoint Games,1200000,2018-02-06,2018-11-26,2018.0
LEGO Dimensions,Warner Bros. Interactive Entertainment,Traveller's Tales,1180000,2015-09-27,2018-03-19,2015.0
LEGO Jurassic World,Warner Bros. Interactive Entertainment,Traveller's Tales,1180000,2015-06-12,2018-04-06,2015.0
MLB The Show 17,Sony Interactive Entertainment,SIE San Diego Studio,1160000,2017-03-28,2018-09-17,2017.0
The Elder Scrolls V: Skyrim,Bethesda Softworks,Bethesda Softworks,1150000,2017-11-17,2018-01-01,2017.0
Dragon Quest VIII: Journey of the Cursed King,Nintendo,Level 5 / Armor Project,1150000,2017-01-20,2018-01-07,2017.0
Middle-Earth: Shadow of WarRead the review,Warner Bros. Interactive Entertainment,Monolith Productions,1150000,2017-10-10,2018-01-10,2017.0
Final Fantasy XV,Square Enix,Square Enix,1140000,2016-11-29,2018-05-03,2016.0
