name,released,rating,rating_top,ratings_count,metacritic,updated,reviews_count,age_rating,genre,subgenre_1,subgenre_2,subgenre_3,subgenre_4,subgenre_5,subgenre_6,subgenre_7,subgenre_8,subgenre_9,subgenre_10,num_stores,platform_1,platform_2,platform_3,platform_4,platform_5,platform_6,platform_7,platform_8,platform_9,platform_10,platform_11,platform_12,platform_13,platform_14,platform_15,platform_16,platform_17,platform_18,platform_19,platform_20,platform_21,platform_22,store1,store2,store3,store4,store5,store6,store7,store8,store9,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,tag13,tag14,tag15,tag16,tag17,tag18,tag19,tag20,tag21,tag22,tag23,tag24,tag25,tag26,tag27,tag28,tag29,tag30,tag31,tag32,tag33,tag34,tag35,tag36,tag37,tag38,tag39,tag40,tag41,tag42,tag43,tag44,tag45,tag46,tag47,tag48,tag49,tag50,tag51,tag52,tag53,tag54,tag55,num_tags,num_platforms,total_platform_game_counts,total_games_counts_stores,Publisher,Developer,NA Sales
Fallout 76,2018-11-14,2,4,633,51,2024-08-28 10:26:40,644,Mature,'Action',Adventure,RPG,0,0,0,0,0,0,0,0,3,PlayStation 4,Xbox One,PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PlayStation Store,Steam,Xbox Store,0,0,0,0,0,0,Steam Achievements,Multiplayer,Atmospheric,RPG,Co-op,Open World,cooperative,First-Person,Partial Controller Support,Horror,Online Co-Op,Funny,Gore,Exploration,Survival,Comedy,Violent,Action-Adventure,PvP,Anime,Nudity,In-App Purchases,Post-apocalyptic,Memes,Sexual Content,Online PvP,mmo,MMORPG,Base Building,Masterpiece,retro-futurism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,547486,110908,Bethesda Softworks,Bethesda Game Studios,930000
Fallout 76,2018-11-14,2,4,633,51,2024-08-28 10:26:40,644,Mature,'Action',Adventure,RPG,0,0,0,0,0,0,0,0,3,PlayStation 4,Xbox One,PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PlayStation Store,Steam,Xbox Store,0,0,0,0,0,0,Steam Achievements,Multiplayer,Atmospheric,RPG,Co-op,Open World,cooperative,First-Person,Partial Controller Support,Horror,Online Co-Op,Funny,Gore,Exploration,Survival,Comedy,Violent,Action-Adventure,PvP,Anime,Nudity,In-App Purchases,Post-apocalyptic,Memes,Sexual Content,Online PvP,mmo,MMORPG,Base Building,Masterpiece,retro-futurism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,547486,110908,Bethesda Softworks,Bethesda Game Studios,210000
Dishonored: Death of the Outsider,2017-09-14,4,4,594,83,2024-07-06 00:11:50,598,Mature,'Action',0,0,0,0,0,0,0,0,0,0,5,PlayStation 4,Xbox One,PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Epic Games,PlayStation Store,GOG,Steam,Xbox Store,0,0,0,0,Singleplayer,Steam Achievements,Full controller support,Steam Cloud,Atmospheric,Story Rich,Open World,First-Person,Gore,Female Protagonist,Violent,Stealth,Dark,Magic,Steampunk,Assassin,Immersive Sim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,547486,118535,Bethesda Softworks,Arkane Studios,330000
Dishonored: Death of the Outsider,2017-09-14,4,4,594,83,2024-07-06 00:11:50,598,Mature,'Action',0,0,0,0,0,0,0,0,0,0,5,PlayStation 4,Xbox One,PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Epic Games,PlayStation Store,GOG,Steam,Xbox Store,0,0,0,0,Singleplayer,Steam Achievements,Full controller support,Steam Cloud,Atmospheric,Story Rich,Open World,First-Person,Gore,Female Protagonist,Violent,Stealth,Dark,Magic,Steampunk,Assassin,Immersive Sim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,547486,118535,Bethesda Softworks,Arkane Studios,140000
Darksiders III,2018-11-27,3,4,546,65,2024-08-29 00:15:53,556,Mature,'Action',Adventure,RPG,0,0,0,0,0,0,0,0,5,PlayStation 4,PC,Nintendo Switch,Xbox One,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steam,GOG,PlayStation Store,Xbox Store,Epic Games,0,0,0,0,Singleplayer,Steam Achievements,Full controller support,Steam Cloud,Atmospheric,steam-trading-cards,RPG,Story Rich,Open World,Third Person,Gore,Female Protagonist,Violent,Action-Adventure,Hack and Slash,Post-apocalyptic,Dark Fantasy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,552989,118535,THQ Nordic,Gunfire Games,120000
Darksiders III,2018-11-27,3,4,546,65,2024-08-29 00:15:53,556,Mature,'Action',Adventure,RPG,0,0,0,0,0,0,0,0,5,PlayStation 4,PC,Nintendo Switch,Xbox One,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steam,GOG,PlayStation Store,Xbox Store,Epic Games,0,0,0,0,Singleplayer,Steam Achievements,Full controller support,Steam Cloud,Atmospheric,steam-trading-cards,RPG,Story Rich,Open World,Third Person,Gore,Female Protagonist,Violent,Action-Adventure,Hack and Slash,Post-apocalyptic,Dark Fantasy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,552989,118535,THQ Nordic,Gunfire Games,10000
Tropico 5,2014-05-22,3,4,528,75,2024-08-22 17:28:29,528,Teen,'RPG',Strategy,Simulation,0,0,0,0,0,0,0,0,6,PlayStation 4,PC,macOS,Linux,Xbox 360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,App Store,PlayStation Store,Steam,GOG,Xbox 360 Store,Epic Games,0,0,0,Singleplayer,Steam Achievements,Multiplayer,Steam Cloud,Atmospheric,steam-trading-cards,Great Soundtrack,RPG,Co-op,Open World,cooperative,Funny,Sandbox,Comedy,Steam Workshop,Cross-Platform Multiplayer,Includes level editor,Historical,RTS,Management,achievements,Economy,Resource Management,City Builder,Politics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,726704,191145,Kalypso Media,Haemimont Games,380000
Tropico 5,2014-05-22,3,4,528,75,2024-08-22 17:28:29,528,Teen,'RPG',Strategy,Simulation,0,0,0,0,0,0,0,0,6,PlayStation 4,PC,macOS,Linux,Xbox 360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,App Store,PlayStation Store,Steam,GOG,Xbox 360 Store,Epic Games,0,0,0,Singleplayer,Steam Achievements,Multiplayer,Steam Cloud,Atmospheric,steam-trading-cards,Great Soundtrack,RPG,Co-op,Open World,cooperative,Funny,Sandbox,Comedy,Steam Workshop,Cross-Platform Multiplayer,Includes level editor,Historical,RTS,Management,achievements,Economy,Resource Management,City Builder,Politics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,726704,191145,Kalypso Media,Haemimont Games,20000
The Surge,2017-05-15,3,3,584,72,2024-08-20 09:10:22,589,Mature,'Action',RPG,0,0,0,0,0,0,0,0,0,4,PC,PlayStation 4,Xbox One,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GOG,Steam,PlayStation Store,Xbox Store,0,0,0,0,0,Singleplayer,Steam Achievements,Multiplayer,Full controller support,Steam Cloud,steam-trading-cards,RPG,Open World,Third Person,Sci-fi,Horror,Gore,Difficult,Exploration,Violent,Hack and Slash,Cyberpunk,Robots,Souls-like,Mechs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,547486,117190,Focus Home Interactive,DECK13 Interactive,190000
RiME,2017-05-25,3,4,768,78,2024-07-03 20:25:56,776,Everyone 10+,'Adventure',Puzzle,0,0,0,0,0,0,0,0,0,6,Xbox One,Nintendo Switch,PlayStation 4,PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steam,PlayStation Store,Xbox Store,GOG,Nintendo Store,Epic Games,0,0,0,Singleplayer,Steam Achievements,Full controller support,Steam Cloud,Atmospheric,Great Soundtrack,Open World,Fantasy,Exploration,controller support,Colorful,Relaxing,puzzles,3D Platformer,cloud saves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,552989,127581,Grey Box,Tequila Works,150000
RiME,2017-05-25,3,4,768,78,2024-07-03 20:25:56,776,Everyone 10+,'Adventure',Puzzle,0,0,0,0,0,0,0,0,0,6,Xbox One,Nintendo Switch,PlayStation 4,PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steam,PlayStation Store,Xbox Store,GOG,Nintendo Store,Epic Games,0,0,0,Singleplayer,Steam Achievements,Full controller support,Steam Cloud,Atmospheric,Great Soundtrack,Open World,Fantasy,Exploration,controller support,Colorful,Relaxing,puzzles,3D Platformer,cloud saves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,552989,127581,Grey Box,Tequila Works,110000
Tom Clancy's Ghost Recon Wildlands,2017-03-06,3,4,680,72,2024-08-26 15:07:14,690,Mature,'Action',Shooter,Massively Multiplayer,0,0,0,0,0,0,0,0,4,PC,Xbox One,PlayStation 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steam,PlayStation Store,Xbox Store,Epic Games,0,0,0,0,0,Singleplayer,Multiplayer,Atmospheric,steam-trading-cards,Co-op,Open World,cooperative,First-Person,Third Person,Partial Controller Support,FPS,Online Co-Op,Sandbox,Survival,Stealth,Tactical,Third-Person Shooter,PvP,Military,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,547486,112253,Ubisoft,Ubisoft Paris,3120000
Tom Clancy's Ghost Recon Wildlands,2017-03-06,3,4,680,72,2024-08-26 15:07:14,690,Mature,'Action',Shooter,Massively Multiplayer,0,0,0,0,0,0,0,0,4,PC,Xbox One,PlayStation 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steam,PlayStation Store,Xbox Store,Epic Games,0,0,0,0,0,Singleplayer,Multiplayer,Atmospheric,steam-trading-cards,Co-op,Open World,cooperative,First-Person,Third Person,Partial Controller Support,FPS,Online Co-Op,Sandbox,Survival,Stealth,Tactical,Third-Person Shooter,PvP,Military,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,547486,112253,Ubisoft,Ubisoft Paris,1610000
