name,released,rating,rating_top,ratings_count,metacritic,updated,reviews_count,age_rating,genre,subgenre_1,subgenre_2,subgenre_3,subgenre_4,subgenre_5,subgenre_6,subgenre_7,subgenre_8,subgenre_9,subgenre_10,num_stores,platform_1,platform_2,platform_3,platform_4,platform_5,platform_6,platform_7,platform_8,platform_9,platform_10,platform_11,platform_12,platform_13,platform_14,platform_15,platform_16,platform_17,platform_18,platform_19,platform_20,platform_21,platform_22,store1,store2,store3,store4,store5,store6,store7,store8,store9,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,tag13,tag14,tag15,tag16,tag17,tag18,tag19,tag20,tag21,tag22,tag23,tag24,tag25,tag26,tag27,tag28,tag29,tag30,tag31,tag32,tag33,tag34,tag35,tag36,tag37,tag38,tag39,tag40,tag41,tag42,tag43,tag44,tag45,tag46,tag47,tag48,tag49,tag50,tag51,tag52,tag53,tag54,tag55,num_tags,num_platforms,total_platform_game_counts,total_games_counts_stores,Publisher,Developer,NA Sales
The Sims 4,2014-09-02,3,4,1083,67,2024-08-24 20:00:49,1093,Teen,'Strategy',Simulation,Casual,0,0,0,0,0,0,0,0,3,PlayStation 4,macOS,PC,Xbox One,Xbox Series S/X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steam,Xbox Store,PlayStation Store,0,0,0,0,0,0,Singleplayer,Multiplayer,Atmospheric,Fantasy,Funny,Character Customization,Family Friendly,Cute,Realistic,3D,Building,Sexual Content,Steam Trading Cards,Relaxing,Cartoony,Romance,Beautiful,Immersive Sim,LGBTQ+,Remote Play on Tablet,build,reality-based,Life Sim,family-simulator,life,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,653039,110908,Electronic Arts,Maxis,1390000
The Sims 4,2014-09-02,3,4,1083,67,2024-08-24 20:00:49,1093,Teen,'Strategy',Simulation,Casual,0,0,0,0,0,0,0,0,3,PlayStation 4,macOS,PC,Xbox One,Xbox Series S/X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steam,Xbox Store,PlayStation Store,0,0,0,0,0,0,Singleplayer,Multiplayer,Atmospheric,Fantasy,Funny,Character Customization,Family Friendly,Cute,Realistic,3D,Building,Sexual Content,Steam Trading Cards,Relaxing,Cartoony,Romance,Beautiful,Immersive Sim,LGBTQ+,Remote Play on Tablet,build,reality-based,Life Sim,family-simulator,life,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,653039,110908,Electronic Arts,Maxis,730000
Surviving Mars,2018-03-14,3,4,456,75,2024-08-09 12:46:27,457,Everyone 10+,'Strategy',Simulation,0,0,0,0,0,0,0,0,0,5,PlayStation 4,Xbox One,PC,macOS,Linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PlayStation Store,Epic Games,Steam,GOG,Xbox Store,0,0,0,0,Singleplayer,Steam Achievements,cooperative,Sci-fi,Space,City Builder,Mars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,729536,118535,Maximum Games,Haemimont Games,50000
Surviving Mars,2018-03-14,3,4,456,75,2024-08-09 12:46:27,457,Everyone 10+,'Strategy',Simulation,0,0,0,0,0,0,0,0,0,5,PlayStation 4,Xbox One,PC,macOS,Linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PlayStation Store,Epic Games,Steam,GOG,Xbox Store,0,0,0,0,Singleplayer,Steam Achievements,cooperative,Sci-fi,Space,City Builder,Mars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,729536,118535,Maximum Games,Haemimont Games,40000
Forza Horizon 4,2018-10-02,4,5,1583,90,2024-08-16 14:52:00,1598,Everyone,'Racing',Arcade,0,0,0,0,0,0,0,0,0,2,PC,Xbox One,Xbox Series S/X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steam,Xbox Store,0,0,0,0,0,0,0,Singleplayer,Steam Achievements,Multiplayer,Full controller support,Steam Cloud,Atmospheric,Great Soundtrack,Co-op,Open World,First-Person,Online Co-Op,Exploration,Sandbox,PvP,Cross-Platform Multiplayer,exclusive,Family Friendly,Realistic,Cinematic,VR,Online PvP,Steam Trading Cards,3rd-Person Perspective,Driving,explore,Offroad,street racing,w10 exclusive,winter,autumn,extreme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,541633,102947,Microsoft Studios,Playground Games,1840000
Syberia 2,2004-03-28,3,4,555,80,2024-08-29 07:23:50,556,Teen,'Adventure',Puzzle,0,0,0,0,0,0,0,0,0,7,Xbox,Android,PlayStation 3,PlayStation 2,Nintendo Switch,macOS,PC,iOS,Xbox 360,0,0,0,0,0,0,0,0,0,0,0,0,0,PlayStation Store,App Store,Google Play,GOG,Xbox 360 Store,Steam,Nintendo Store,0,0,Singleplayer,Atmospheric,Great Soundtrack,Story Rich,Classic,Female Protagonist,Point & Click,Mystery,Story,Steampunk,puzzles,Movie,factory,Dreams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,783592,215943,Microids,Microids,10000
Overcooked,2016-08-01,4,4,1317,81,2024-08-14 16:08:10,1326,Everyone,'Simulation',Arcade,Casual,Indie,0,0,0,0,0,0,0,4,PlayStation 4,Nintendo Switch,Xbox One,PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PlayStation Store,Xbox Store,Steam,Epic Games,0,0,0,0,0,Singleplayer,Steam Achievements,Multiplayer,Full controller support,Steam Cloud,steam-trading-cards,Great Soundtrack,Co-op,cooperative,Funny,Difficult,Split Screen,Local Co-Op,Local Multiplayer,Family Friendly,Colorful,Memes,4 Player Local,Co-op Campaign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,552989,112253,Sold Out,Ghost Town Games,50000
Overcooked,2016-08-01,4,4,1317,81,2024-08-14 16:08:10,1326,Everyone,'Simulation',Arcade,Casual,Indie,0,0,0,0,0,0,0,4,PlayStation 4,Nintendo Switch,Xbox One,PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PlayStation Store,Xbox Store,Steam,Epic Games,0,0,0,0,0,Singleplayer,Steam Achievements,Multiplayer,Full controller support,Steam Cloud,steam-trading-cards,Great Soundtrack,Co-op,cooperative,Funny,Difficult,Split Screen,Local Co-Op,Local Multiplayer,Family Friendly,Colorful,Memes,4 Player Local,Co-op Campaign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,552989,112253,Sold Out,Ghost Town Games,40000
Assassin's Creed Syndicate,2015-10-23,3,4,1450,74,2024-08-26 15:04:44,1467,Mature,'Action',0,0,0,0,0,0,0,0,0,0,4,PC,Xbox One,PlayStation 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PlayStation Store,Epic Games,Steam,Xbox Store,0,0,0,0,0,Singleplayer,Multiplayer,Atmospheric,Great Soundtrack,Co-op,Story Rich,Open World,cooperative,Third Person,Partial Controller Support,Funny,Gore,Female Protagonist,Stealth,Historical,Parkour,Steampunk,Assassin,Illuminati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,547486,112253,Ubisoft,Ubisoft Quebec,3600000
Assassin's Creed Syndicate,2015-10-23,3,4,1450,74,2024-08-26 15:04:44,1467,Mature,'Action',0,0,0,0,0,0,0,0,0,0,4,PC,Xbox One,PlayStation 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PlayStation Store,Epic Games,Steam,Xbox Store,0,0,0,0,0,Singleplayer,Multiplayer,Atmospheric,Great Soundtrack,Co-op,Story Rich,Open World,cooperative,Third Person,Partial Controller Support,Funny,Gore,Female Protagonist,Stealth,Historical,Parkour,Steampunk,Assassin,Illuminati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,547486,112253,Ubisoft,Ubisoft Quebec,1440000
