Title,Publisher,Developer,Total Sales,Release Date,Last Update,Year
Maneater,Tripwire Interactive,Tripwire Interactive,14000000,2021-05-25,2024-05-07,2021.0
NBA 2K20,2K Sports,Visual Concepts,14000000,2019-09-06,2020-10-22,2019.0
Star Wars Battlefront (2015),Electronic Arts,EA DICE,14000000,2015-11-17,2020-10-31,2015.0
Yo-kai Watch,Nintendo,Level 5,14000000,2015-11-06,2020-02-16,2015.0
Resident Evil 7,Capcom,Capcom,13700000,2017-01-24,2020-10-11,2017.0
Splatoon 2,Nintendo,Nintendo EPD,13600000,2017-07-21,2018-11-19,2017.0
Super Mario 3D World + Bowser's FuryRead the review,Nintendo,Nintendo,13470000,2021-02-12,2020-09-03,2021.0
Super Mario Bros. WonderRead the review,Nintendo,Nintendo,13440000,2023-10-20,2023-06-21,2023.0
Monster Hunter World: Iceborne,Capcom,Capcom,13400000,2019-09-06,2020-10-13,2019.0
Nintendo Switch SportsRead the review,Nintendo,Nintendo,13110000,2022-04-29,2022-02-09,2022.0
Cities: Skylines,Paradox Interactive,Colossal Order,13000000,2015-03-10,2024-02-07,2015.0
Stardew Valley,Chucklefish,ConcernedApe,13000000,2016-02-26,2018-03-21,2016.0
Gran Turismo Sport,Sony Interactive Entertainment,Polyphony Digital,12980000,2017-10-17,2018-01-13,2017.0
Mario Party SuperstarsRead the review,Nintendo,Nintendo,12890000,2021-10-29,2021-06-15,2021.0
Grand Theft Auto V,Rockstar Games,Rockstar North,12600000,2015-04-14,2018-11-02,2015.0
Rust,Facepunch Studios,Facepunch Studios,12480000,2018-02-08,2022-01-10,2018.0
The Witcher 3: Wild HuntRead the review,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,12400000,2015-05-19,2018-05-04,2015.0
Cities: Skylines,Paradox Interactive,Colossal Order,12000000,2015-03-10,2021-01-27,2015.0
Helldivers 2,Sony Interactive Entertainment,Arrowhead Game Studios,12000000,2024-02-08,2024-02-11,2024.0
Little Nightmares,Bandai Namco Entertainment,Tarsier Studios,12000000,2017-04-28,2020-03-15,2017.0
NBA 2K19,2K Sports,Visual Concepts,12000000,2018-09-11,2020-10-22,2018.0
Splatoon 3Read the review,Nintendo,Nintendo,11960000,2022-09-09,2021-02-17,2022.0
Naruto Shippuden: Ultimate Ninja Storm 4,Bandai Namco Entertainment,CyberConnect2,11880000,2016-02-09,2020-11-16,2016.0
Civilization VI,2K Games,Firaxis Games,11000000,2016-10-21,2020-10-31,2016.0
Fall Guys: Ultimate Knockout,Devolver Digital,Mediatonic,11000000,2020-08-04,2020-07-14,2020.0
Fall Guys: Ultimate Knockout,Devolver Digital,Mediatonic,11000000,2020-08-04,2021-02-18,2020.0
Marvel's Spider-Man 2Read the review,Sony Interactive Entertainment,Insomniac Games,11000000,2023-10-20,2021-09-13,2023.0
Mortal Kombat X,Warner Bros. Interactive Entertainment,NetherRealm Studios,11000000,2015-04-07,2020-10-28,2015.0
NBA 2K21,2K Sports,Visual Concepts,11000000,2020-09-04,2020-11-06,2020.0
Rocket League,Psyonix,Psyonix,10500000,2015-07-07,2020-03-16,2015.0
Rocket League,Psyonix,Psyonix,10500000,2015-07-07,2020-12-18,2015.0
Dark Souls III,Bandai Namco Entertainment,From Software,10460000,2016-04-12,2020-11-08,2016.0
